"id"|"provincia"|"region"|"subregion"|"trimestre"|"anio"|"pondera"|"cv1c04"|"cv1c05_a"|"cv1c05_b"|"cv1c05_c"|"cv1c05_d"|"cv1c06_e"|"cv1c06_f"|"cv1c07"|"cv1c08"|"cv1c09"|"cv1c10"|"cv1c11"|"cv1c12"|"cv1c13"|"ch01"|"ch02"|"ch03"|"ch04"|"ch05"|"ch06"|"ch07"|"ch08"|"ch09"|"ch10"|"ch11"|"ch12"|"ch13"|"ch14"|"ch15"|"ch16"|"ch17_a"|"ch17_b"|"ch18"|"ch19"|"ch20"|"ch21"|"propauto"|"regten"|"hacina"|"jniveled"|"jsexo"|"jedad_agrup"|"jsitconyugal"|"jdif_lp"|"jestado"|"jocupengh"|"jpercept"|"jcomed"|"tipohog"|"cantping"|"reldep"|"cantmiem"|"cantadequi"|"menor18"|"menor14"|"mayor65"|"dif_lph"|"cant_act"|"permieoc"|"clima_educativo"|"gastot"|"gastotpc"|"gasto_comunh"|"gascomp"|"gasvent"|"gc_01"|"gc_02"|"gc_03"|"gc_04"|"gc_05"|"gc_06"|"gc_07"|"gc_08"|"gc_09"|"gc_10"|"gc_11"|"gc_12"|"gc09_01"|"gc09_02"|"gc09_03"|"gc09_04"|"gc09_05"|"gc09_06"|"gc09_07"|"gc09_08"|"gc09_09"|"fp_contado"|"fp_credito"|"fp_especie"|"fp_prodprop"|"fp_tarjetas"|"fp_otras"|"fp_indef"|"tn_hipsup"|"tn_autoserv"|"tn_negesp"|"tn_restaurant"|"tn_kiosco"|"tn_internet"|"tn_comedor"|"tn_especie"|"tn_otros"|"tn_indef"|"decgaphp"|"decgaphr"|"decgapht"|"quigaphp"|"quigaphr"|"quigapht"|"gasto_imputado"|"m_gasto_imputado"|"ingtoth"|"ingpch"|"m_ingtoth"|"ingtoth_imp"|"qinth_p"|"qinth_r"|"qinth_t"|"dinth_p"|"dinth_r"|"dinth_t"|"qinpch_p"|"qinpch_r"|"qinpch_t"|"dinpch_p"|"dinpch_r"|"dinpch_t"
478229345|2|1|"1A"|4|2018|276|4|2|3|3|3|3|3|1|1|1|1|1|4|2|1|2|2|1|4|1|1|1|1|1|1|1|3|1|1|1|1|1|2|1|7|1|2|1|0.5|4|1|6|2|2|3||"1"|1|2|2|1|2|1.37|0|0|2|0|0||3|36754.07|18377.035|26552.59|36754.07|0|4871.25|1428.9|0|8680|0|4800|2748.48|1725|1625|0|9893|982.44|15393.15|0|8680|0|4800|5155.92|2425|0|300|35471.59|1040|0|0|242.48|0|23000|600|3264.82|12315.77|6495|242.48|0|0|0|866|12970|7|9|9|4|5|5|0|2|35083.3333333333|17541.6666666667|0|0|3|4|4|5|7|7|3|4|4|6|8|8
824935596|2|1|"1A"|4|2018|271|4|3|3|3|3|3|3|1|1|1|1|1|5|2|1|2|2|1|5|2|1|1|1|1|1|1|3|1|1|1|1|1|1|1|7|1|1|1|0.4|6|2|6|4|2|3||"1"|1|3|1|2|2|1.43|0|0|1|0|1||4|30000.7|15000.35|28407.26|30000.7|0|6984.29|0|0|7933|448|9303.2|1593.44|2690|750|0|0|298.77|6984.29|0|7933|448|9303.2|4283.44|750|0|298.77|26902.74|2760.22|0|0|337.74|0|36000|0|5802.2|11952.06|0|337.74|0|0|0|1255.7|10653|6|8|9|3|4|5|0|2|42666.6666666667|21333.3333333333|0|0|4|4|4|7|8|8|4|5|5|7|9|9
549385244|2|1|"1A"|1|2017|264|4|2|3|3|3|3|3|1|1|1|1|1|1|2|3||||1|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|2|1|5|1|2|5|2|3||"1"|2|1|1|1|1|1.02|0|0|0|0|0||3|5816.0773|5816.0773|5085.1733|5816.0773|0|935.3233|0|500|522.45|50|0|1411.304|1060|600|0|433|304|1368.3233|500|522.45|50|0|2471.304|0|600|304|3444.7733|2160|0|0|0|0|211.304|985.3233|0|2348|433|0|0|0|0|0|2049.754|2|4|5|1|2|3|692.184|1|15000|15000|0|0|1|2|2|2|3|3|3|4|4|5|7|8
64338930|2|1|"1A"|3|2018|245|4|3|3|3|3|3|3|1|1|1|1|1|1|2|3||||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|5|1|5|3|2|3||"1"|1|1|1|1|1|1|0|0|0|0|0||3|33049.61|33049.61|29996.96|33049.61|0|4334.33|913.63|200|15000|0|0|368.05|1000|3948.5|5000|2035.1|250|7283.06|200|15000|0|0|1368.05|0|8948.5|250|24758.12|7923.44|0|0|368.05|0|10000|896.31|2281.91|8503.34|0|368.05|0|0|0|0|21000|9|10|10|5|5|5|0|2|65000|65000|0|0|5|5|5|9|9|10|5|5|5|10|10|10
635779227|2|1|"1A"|3|2018|283|4|3|3|3|3|3|3|1|1|1|1|1|1|3|3||||1|1|1|1|1|1|1|1|1|1|5|1|2|1|2|1|1|1|1|2|2|5|1|2|1|2|1|1|"1"|2|2|2|1|2|1.78|0|0|0|0|2|2|3|34307.245|17153.6225|30676.54|34307.245|0|5897.46|0|5450|12175|1909.8|2000|771.005|1384|900|0|2814.5|1005.48|8711.96|5450|12175|1909.8|2000|2155.005|900|0|1005.48|24999.74|5850|2814.5|0|643.005|0|7500|11309.54|200|4944|0|816.205|0|0|2814.5|0|14223|6|9|9|3|5|5|0|2|30883.3333333333|15441.6666666667|0|0|3|3|4|5|6|7|3|4|4|5|8|8
995013|2|1|"1A"|1|2018|549|4|1|1|3|3|3|3|1|1|1|1|1|3|3|4||||3|2|1|1|1|1|1|1|1|1|1|1|1|1|3|1|7|1|2|3|1|2|1|5|1|2|1|1|"1"|1|3|3|1|3|2.79|0|0|0|0|3|1|3|17778.075|5926.025|8674.25|17778.075|0|2983.37|0|0|0|1519.41|0|7099.925|303.1|1280|0|3464|1128.27|6447.37|0|0|1519.41|0|7403.025|1280|0|1128.27|10114.17|6657.18|0|0|1006.725|0|10920|0|3039.82|9138.03|3464|1006.725|0|0|0|649.5|480|2|4|5|1|2|3|7588.325|1|63666.6666666667|21222.2222222222|0|0|4|5|5|8|9|10|4|5|5|7|9|9
459317539|2|1|"1A"|1|2018|603|4|3|3|3|3|3|3|1|1|1|1|1|6|3|1|2|2|1|6|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|7|1|2|1|0.166666666666667|6|2|6|4|1|1|3|"1"|1|1|1|1|1|0.67|0|0|1|1|1|1|5|79541.0795|79541.0795|71010.9795|79541.0795|0|4570.9645|2790.685|17450|8100|3900|2944.4|20311.5|1275|1125|0|1818.6|15254.93|9180.2495|17450|12100|3900|2944.4|17586.5|1125|0|15254.93|39359.04|36582.0395|0|0|0|0|28600|6201.2095|0|46098.07|1818.6|173.2|0|0|0|800|24450|10|10|10|5|5|5|0|2|82666.6666666667|82666.6666666667|0|0|5|5|5|9|10|10|5|5|5|10|10|10
712307269|2|1|"1A"|1|2018|722|4|3|3|3|3|3|3|1|1|1|1|1|4|3|1|2|2|1|4|3|1|1|1|1|1|1|3|1|1|1|1|1|4|1|7|1|2|1|1.25|6|1|5|2|2|1|1|"1"|1|3|2|2.5|5|4.26|3|1|0|0|2|2.5|5|170018.52|34003.704|163523.52|170018.52|0|1039.2|4330|6000|6340|11000|10000|3928|5000|36720|58440|6495|20726.32|11864.2|6000|9840|11000|10000|7289.2|36720|58440|18865.12|26389.2|129129.32|4500|0|0|0|185000|0|0|55843.52|6495|0|0|0|0|0|107680|9|10|10|5|5|5|0|2|219833.333333333|43966.6666666667|0|0|5|5|5|10|10|10|5|5|5|10|10|10
474783756|2|1|"1A"|2|2018|602|4|3|2|3|3|3|3|1|1|1|1|1|4|3|1|2|2|1|4|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|7|1|1|1|0.25|6|2|6|5|1|3||"1"|1|1|1|1|1|0.63|0|0|1|1|0||5|24025.57|24025.57|24025.57|24025.57|0|1359.62|519.6|0|5136.5|8284.85|6984|0|596.15|1144.85|0|0|0|1879.22|0|5136.5|8284.85|6984|596.15|1144.85|0|0|15246.57|779|0|0|0|0|43148|0|1727.67|8199.4|0|0|0|0|0|0|14098.5|8|9|10|4|5|5|0|2|8233.33333333333|8233.33333333333|0|0|1|1|1|1|1|1|1|3|3|2|5|5
489908161|2|1|"1A"|2|2018|891|4|3|3|3|3|3|3|1|1|1|1|1|1|2|3||||1|1|1|1|1|1|1|1|1|1|5|1|2|2||1|5|1|1|2|1|6|2|3|5|2|1|1|"1"|1|1|1|1|1|0.77|0|0|0|0|1|1|5|27114.9495|27114.9495|23746.2095|27114.9495|0|2495.812|0|240|7810.28|752|340.9875|4060.83|4112|3061.5|0|2671.61|1569.93|5167.422|240|7810.28|752|340.9875|8172.83|2161.5|900|1569.93|20007.3195|5328|1558.8|0|220.83|0|5804|2305.292|194.85|6554.4875|1199.41|394.03|0|0|1558.8|1125.8|13782.28|9|10|10|5|5|5|0|2|23166.6666666667|23166.6666666667|0|0|2|3|3|3|5|5|4|5|5|7|9|9
56586228|2|1|"1A"|2|2018|837|4|3|3|3|3|3|3|1|1|1|1|1|1|2|1|2|2|1|1|1|1|1|1|1|1|1|1|1|5|1|2|1|1|1|5|1|1|1|1|6|1|5|3|2|3||"1"|2|1|1|1|1|0.83|0|0|0|0|0||5|16023.67|16023.67|11594.08|16023.67|0|1441.89|476.3|4860|1600|0|1052.19|229.49|1000|2522.5|0|2641.3|200|4083.19|4860|1600|0|1052.19|1229.49|2522.5|0|676.3|15794.18|0|0|0|229.49|0|8000|0|1441.89|7194.69|2641.3|705.79|0|0|0|0|4040|6|8|9|3|4|5|0|2|45000|45000|0|0|4|4|5|7|8|9|5|5|5|10|10|10
595273507|2|1|"1A"|2|2018|1300|4|3|3|3|3|3|3|1|1|1|1|1|1|2|3||||1|1|1|1|1|1|1|1|1|1|1|1|2|1|2|1|1|1|1|2|4|5|1|4|2|2|1|1|"1"|2|3|1|4|4|3.06|2|2|0|0|1|4|5|34175.11|8543.7775|31144.11|34175.1099999999|0|6352.11|0|700|12067|173.2|857.6|11991|128|240|1060|0|606.2|6352.11|700|12067|173.2|857.6|12119|0|1300|606.2|31016.11|128|0|0|3031|0|180|2048.09|2061.08|4147.94|0|3031|0|0|0|0|22887|3|6|7|2|3|4|0|2|25874|6468.5|1|25874|2|3|3|4|5|6|1|2|2|2|3|4
