"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQRMNOPSRHJMKNCDEHLEH00797939";2023;1;1;1;40;"N";25;111;2;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;1;2;0;2;0;3;"";2;"";1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;0;2;75000;"2";"2";"2";"";"2";"2";37500;"3";"3";"4";"";"3";"3";124;1;2;98;0;0;0
"TQRMNORQYHLMKPCDEHLEH00717341";2023;1;1;1;40;"N";25;150;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;130000;"4";"4";"4";"";"4";"4";65000;"5";"5";"7";"";"5";"7";193;2;0;98;0;0;0
"TQRMNOPUWHLLKSCDEHLEH00798181";2023;1;1;1;40;"N";25;156;2;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;1;0;1;60000;"1";"1";"1";"";"1";"1";60000;"5";"5";"6";"";"5";"6";185;1;0;98;0;0;0
"TQRMNOSSWHKOKRCDEGOIH00778157";2023;1;1;1;40;"N";18;229;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;3;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;4;0;4;104000;"3";"3";"3";"";"3";"3";26000;"2";"2";"2";"";"2";"2";228;2;0;1;0;0;0
"TQRMNORPUHJMKSCDEGOIH00794685";2023;1;1;1;40;"N";18;182;1;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;1;2;0;2;0;3;"";2;"";1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;60000;"1";"1";"1";"";"1";"1";60000;"5";"5";"6";"";"5";"6";194;1;0;97;0;0;0
"TQRMNORTSHLMLLCDEGOIH00716759";2023;1;1;1;40;"N";18;334;1;"";5;1;"";1;1;1;1;"";1;1;1;2;2;2;2;5;3;1;1;1;1;2;2;0;2;0;1;"";2;"";1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;4;0;4;407500;"9";"10";"10";"";"10";"10";101875;"7";"8";"9";"";"8";"9";341;1;0;4;0;0;0
"TQRMNOQWQHKMLOCDEGOIH00778109";2023;1;1;1;40;"N";18;153;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;100000;"3";"3";"3";"";"3";"3";100000;"7";"7";"9";"";"8";"9";157;97;0;98;0;0;0
"TQRMNOPXQHLMLMCDEGOIH00716674";2023;1;1;1;40;"N";18;386;1;"";2;1;"";1;1;1;1;"";1;1;1;2;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;0;2;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;2;0;98;0;0;0
"TQRMNOQTWHKMKNCDEFIAH00775669";2023;1;1;1;43;"S";2;563;1;"";3;1;"";4;1;1;1;"";1;1;1;2;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;1;1;2;2;2;3;0;3;132000;"4";"4";"4";"4";"";"4";44000;"3";"3";"3";"3";"";"2";1560;1;2;3;0;0;0
"TQRMNORVYHMOTSCDEIJAH00802517";2023;1;1;1;1;"S";33;1066;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;0;98;0;0;0
"TQRMNOSQRHLLTTCDEIJAH00719390";2023;1;1;1;1;"S";33;2270;2;"";4;1;"";3;1;1;1;"";1;1;1;1;2;2;2;4;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;1;1;2;2;2;2;0;2;158000;"5";"";"5";"5";"";"5";79000;"6";"";"6";"6";"";"7";4733;1;0;2;0;0;0
"TQSMNOSQRHLLTTCDEIJAH00719389";2023;1;1;1;1;"S";33;2161;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;96000;"3";"";"2";"2";"";"3";96000;"7";"";"7";"7";"";"8";2672;1;0;98;0;0;0
"TQRMNORPWHLLKSCDEHLEH00794944";2023;1;1;1;40;"N";25;167;2;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;160000;"5";"5";"6";"";"5";"6";80000;"6";"6";"8";"";"7";"8";209;1;2;98;0;0;0
"TQRMNORTUHKMKTCDEHLEH00778896";2023;1;1;1;40;"N";25;200;1;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;260000;"8";"8";"8";"";"8";"9";65000;"5";"5";"7";"";"6";"7";208;1;0;98;0;0;0
"TQRMNOTPSHKOKSCDEHLEH00778850";2023;1;1;1;40;"N";25;143;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;8;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;70000;"2";"2";"2";"";"2";"2";70000;"6";"6";"7";"";"6";"7";147;1;0;98;0;0;0
"TQRMNOTRTHJMKRCDEHLEH00795454";2023;1;1;1;40;"N";25;119;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;3;0;3;575000;"10";"10";"10";"";"10";"10";191666,67;"9";"10";"10";"";"10";"10";153;1;3;98;0;0;0
"TQRMNOQPVHKMKOCDEGGFB00777004";2023;1;1;1;42;"S";10;690;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;6;"";2;"";1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;433000;"9";"10";"10";"9";"";"10";108250;"8";"8";"8";"8";"";"8";921;1;0;2;3;0;0
"TQRMNORVTHLOLMCDEGGFB00715744";2023;1;3;1;42;"S";10;549;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;6;"";2;"";2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;207000;"6";"7";"7";"6";"";"7";69000;"5";"5";"6";"5";"";"6";826;2;0;1;0;0;0
"TQRMNORVTHLOLMCDEGGFB00715744";2023;1;1;1;42;"S";10;473;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;2;2;2;0;2;0;6;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;215000;"7";"7";"7";"7";"";"7";107500;"8";"8";"8";"8";"";"8";624;1;0;98;0;0;0
"TQRMNOSQVHKNKSCDEGGFB00777103";2023;1;1;1;42;"S";10;511;1;"";2;1;"";1;2;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;130000;"4";"4";"4";"4";"";"4";32500;"2";"2";"2";"2";"";"2";579;2;0;1;3;4;0
"TQRMNOSPSHMNLPCDEGGFB00799464";2023;1;1;1;42;"S";10;603;1;"";2;1;"";1;2;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;1;0;1;0;"12";"12";"12";"12";"";"12";0;"12";"12";"12";"12";"";"12";0;1;0;98;0;0;0
