"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V2_02";"V2_03";"V21_01";"V22_01";"V3";"V4";"V5_02";"V5_03";"V6";"V7";"V8";"V9";"V10";"V11_01";"V11_02";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"V5_01";"V21_02";"V21_03";"V22_02";"V22_03";"V2_01"
"TQSMNORUWHMNLNCDEGGFB00809685";2024;3;1;1;42;"S";10;717;1;"";2;1;"";1;2;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;6;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;0;12;12;12;12;;12;0;12;12;12;12;;12;0;1;0;97;0;0;0;2;2;2;2;2;0
"TQRMNORQSHMMKQCDEHMHF00811296";2024;3;1;1;42;"N";26;143;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;4;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;0;1;380000;2;2;2;;2;2;380000;6;6;7;;7;7;148;1;0;98;0;0;0;2;2;2;2;2;1
"TQRMNOPQTHMLNUCDEIIAD00812026";2024;3;1;1;1;"S";32;249;2;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;1;3;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;98;0;0;0;2;2;2;2;2;0
"TQSMNOQXUHMOLRCDEIJAH00812539";2024;3;1;1;1;"S";33;1887;1;"";1;1;"";4;1;2;2;"";1;1;2;2;2;2;2;1;1;2;0;1;2;2;2;0;2;0;6;"";2;"";1;1;2;0;0;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;4;1;3;560000;3;;3;3;;3;140000;2;;2;2;;2;2330;1;4;98;0;0;0;1;2;2;2;2;0
"TQRMNOPPQHMMKRCDEGOIH00810573";2024;3;1;1;40;"N";18;559;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;8;"";2;"";1;1;2;0;0;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;1;0;1;300000;1;2;2;;2;1;300000;4;5;6;;5;6;606;1;0;98;0;0;0;2;2;2;2;2;0
"TQRMNOPXUHMNLQCDEHIBB00810798";2024;3;1;1;40;"N";22;103;1;"";3;1;"";1;1;1;1;"";1;1;1;2;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;4;1;3;2240000;9;10;10;;10;10;560000;8;8;9;;8;9;109;2;0;1;0;0;0;2;2;2;2;2;0
"TQRMNORSPHMMMLCDEGGFB00809691";2024;3;1;1;42;"S";10;685;1;"";3;1;"";3;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;6;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;4;1;3;1320000;7;8;8;7;;8;330000;5;5;6;5;;6;995;2;1;3;0;0;0;2;2;2;2;2;0
"TQRMNOPYRHMNLQCDEHIBB00810825";2024;3;1;1;40;"N";22;112;1;"";3;2;"";1;1;1;1;"";1;1;1;2;2;2;2;3;3;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;2;2;4;0;4;1357000;7;8;8;;8;8;339250;5;5;7;;6;7;123;2;0;1;0;0;0;2;2;2;2;2;0
"TQRMNOQYWHMOKMCDEHPJB00811606";2024;3;1;1;40;"S";29;400;1;"";3;2;"";4;2;1;1;"";1;1;2;3;1;2;2;3;2;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;584500;3;4;4;3;;3;194833,33;3;3;4;3;;3;540;2;0;98;0;0;0;2;2;1;2;1;2
"TQRMNOPRTHMMLRCDEHJGH00811004";2024;3;2;1;40;"S";23;385;1;"";4;1;"";3;2;1;1;"";1;1;1;1;2;2;2;4;2;1;1;1;2;2;2;0;2;0;3;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;1;2;1410000;8;8;9;8;;8;470000;7;7;8;7;;8;395;96;0;98;0;0;0;2;2;2;2;2;0
