"fecha","valor"
2016-12-01,100
2017-01-01,101.3024
2017-02-01,103.1605
2017-03-01,106.0143
2017-04-01,108.3515
2017-05-01,109.7631
2017-06-01,110.7483
2017-07-01,112.0115
2017-08-01,114.3467
2017-09-01,116.4048
2017-10-01,118.1646
2017-11-01,119.5688
2017-12-01,120.36
2018-01-01,122.8752
2018-02-01,125.5566
2018-03-01,128.469
2018-04-01,129.9559
2018-05-01,134.2019
2018-06-01,141.151
2018-07-01,146.7848
2018-08-01,152.6743
2018-09-01,163.3911
2018-10-01,173.0007
2018-11-01,178.8975
2018-12-01,181.9359
2019-01-01,188.0357
2019-02-01,198.7818
2019-03-01,210.628
2019-04-01,215.9985
2019-05-01,221.2588
2019-06-01,226.9033
2019-07-01,232.0295
2019-08-01,242.5051
2019-09-01,256.3757
2019-10-01,262.6603
2019-11-01,276.6339
2019-12-01,285.297
2020-01-01,298.6501
2020-02-01,306.6182
2020-03-01,318.6777
2020-04-01,328.7785
2020-05-01,331.0146
2020-06-01,334.4636
2020-07-01,338.7648
2020-08-01,350.5076
2020-09-01,360.8692
2020-10-01,378.0896
2020-11-01,388.3864
2020-12-01,405.2871
2021-01-01,424.8374
2021-02-01,441.0722
2021-03-01,461.3238
2021-04-01,481.2407
2021-05-01,496.1796
2021-06-01,512.2593
2021-07-01,529.7087
2021-08-01,537.5867
2021-09-01,553.4373
2021-10-01,572.3293
2021-11-01,584.4717
2021-12-01,609.3311
2022-01-01,639.405
2022-02-01,687.1658
2022-03-01,736.9451
2022-04-01,780.1457
2022-05-01,814.5693
2022-06-01,852.1804
2022-07-01,903.4609
2022-08-01,967.5805
2022-09-01,1032.8063
2022-10-01,1096.5069
2022-11-01,1135.001
2022-12-01,1187.9252
2023-01-01,1268.3385
2023-02-01,1392.3999
2023-03-01,1522.5337
2023-04-01,1677.0441
2023-05-01,1774.4119
2023-06-01,1848.0332
2023-07-01,1954.5101
2023-08-01,2259.2334
2023-09-01,2583.3826
2023-10-01,2782.4454
2023-11-01,3218.3702
2023-12-01,4173.6759
2024-01-01,5024.9656
2024-02-01,5622.8372
2024-03-01,6216.0451
2024-04-01,6590.0877
2024-05-01,6909.5535
2024-06-01,7117.2232
2024-07-01,7345.4071
2024-08-01,7611.7813
2024-09-01,7787.1421
2024-10-01,7880.5855
2024-11-01,7952.0427
2024-12-01,8127.7647
2025-01-01,8278.1147
2025-02-01,8546.6547
2025-03-01,9051.2822
2025-04-01,9318.2093
2025-05-01,9365.3121
2025-06-01,9418.0826
2025-07-01,9596.7407
2025-08-01,9729.0211
2025-09-01,9910.131
2025-10-01,10136.6605
2025-11-01,10421.9128
2025-12-01,10748.4071
2026-01-01,11251.1166
2026-02-01,11624.9808
2026-03-01,12014.7
2026-04-01,12194.882
2026-05-01,12494.9767
2026-06-01,12657.4575
2026-07-01,12907.5083
