"fecha","valor"
2016-12-01,100
2017-01-01,100.925
2017-02-01,105.2395
2017-03-01,107.2901
2017-04-01,109.8338
2017-05-01,111.7182
2017-06-01,112.4572
2017-07-01,115.794
2017-08-01,117.3256
2017-09-01,118.1383
2017-10-01,121.695
2017-11-01,123.0467
2017-12-01,123.7178
2018-01-01,126.558
2018-02-01,128.7394
2018-03-01,129.6226
2018-04-01,131.2858
2018-05-01,133.4078
2018-06-01,134.6168
2018-07-01,138.1218
2018-08-01,139.9915
2018-09-01,146.1856
2018-10-01,149.5775
2018-11-01,156.5108
2018-12-01,158.6722
2019-01-01,164.1486
2019-02-01,168.0165
2019-03-01,174.827
2019-04-01,176.6323
2019-05-01,180.4588
2019-06-01,185.3625
2019-07-01,186.9476
2019-08-01,195.1481
2019-09-01,206.218
2019-10-01,218.9538
2019-11-01,231.1972
2019-12-01,238.3667
2020-01-01,248.7265
2020-02-01,251.9682
2020-03-01,259.1936
2020-04-01,262.827
2020-05-01,263.0259
2020-06-01,272.9822
2020-07-01,276.7322
2020-08-01,280.3346
2020-09-01,292.3052
2020-10-01,297.8662
2020-11-01,306.7433
2020-12-01,317.1521
2021-01-01,331.4265
2021-02-01,343.3155
2021-03-01,365.3793
2021-04-01,378.4685
2021-05-01,384.5689
2021-06-01,405.6917
2021-07-01,418.2942
2021-08-01,426.7422
2021-09-01,451.7961
2021-10-01,461.7273
2021-11-01,466.8177
2021-12-01,491.9092
2022-01-01,500.7578
2022-02-01,514.0762
2022-03-01,543.6306
2022-04-01,561.8137
2022-05-01,593.5899
2022-06-01,633.4988
2022-07-01,674.3455
2022-08-01,721.689
2022-09-01,789.7014
2022-10-01,832.7248
2022-11-01,885.54
2022-12-01,948.7615
2023-01-01,1017.8777
2023-02-01,1071.1087
2023-03-01,1159.8526
2023-04-01,1203.7907
2023-05-01,1305.3763
2023-06-01,1364.1997
2023-07-01,1487.5243
2023-08-01,1613.6846
2023-09-01,1799.9953
2023-10-01,1977.1526
2023-11-01,2209.6412
2023-12-01,2656.6774
2024-01-01,3215.0859
2024-02-01,3783.276
2024-03-01,4248.8502
2024-04-01,4481.9882
2024-05-01,4781.4925
2024-06-01,4880.2257
2024-07-01,5178.7502
2024-08-01,5336.2611
2024-09-01,5453.5896
2024-10-01,5617.0301
2024-11-01,5841.4971
2024-12-01,5987.6081
2025-01-01,6132.7085
2025-02-01,6212.9468
2025-03-01,6262.1312
2025-04-01,6440.2537
2025-05-01,6477.8365
2025-06-01,6658.8334
2025-07-01,6701.1649
2025-08-01,6932.52
2025-09-01,7042.0634
2025-10-01,7209.6846
2025-11-01,7293.6616
2025-12-01,7499.3541
2026-01-01,7612.5319
2026-02-01,7659.9125
2026-03-01,7823.3561
2026-04-01,7969.9785
2026-05-01,8033.2555
2026-06-01,8201.663
2026-07-01,8325.6018
