"fecha","valor"
2016-12-01,100
2017-01-01,101.9345
2017-02-01,103.7951
2017-03-01,105.6633
2017-04-01,107.5442
2017-05-01,108.9336
2017-06-01,110.3729
2017-07-01,111.8348
2017-08-01,113.6021
2017-09-01,115.4941
2017-10-01,117.0803
2017-11-01,118.5168
2017-12-01,119.8176
2018-01-01,122.7189
2018-02-01,124.8704
2018-03-01,127.1891
2018-04-01,129.3332
2018-05-01,131.8763
2018-06-01,136.0669
2018-07-01,141.4245
2018-08-01,148.3437
2018-09-01,160.1018
2018-10-01,170.0438
2018-11-01,177.5239
2018-12-01,183.608
2019-01-01,190.2864
2019-02-01,196.1795
2019-03-01,202.2281
2019-04-01,208.235
2019-05-01,214.0404
2019-06-01,218.5697
2019-07-01,224.4509
2019-08-01,234.3934
2019-09-01,253.668
2019-10-01,263.4181
2019-11-01,276.2862
2019-12-01,286.2711
2020-01-01,295.0698
2020-02-01,302.2693
2020-03-01,308.4361
2020-04-01,308.9516
2020-05-01,314.8969
2020-06-01,315.9472
2020-07-01,323.2643
2020-08-01,334.0208
2020-09-01,340.0843
2020-10-01,347.2283
2020-11-01,356.3987
2020-12-01,362.5783
2021-01-01,369.9824
2021-02-01,381.9169
2021-03-01,390.3459
2021-04-01,404.5705
2021-05-01,416.3379
2021-06-01,424.5201
2021-07-01,438.0619
2021-08-01,452.5377
2021-09-01,462.336
2021-10-01,477.8239
2021-11-01,487.5849
2021-12-01,503.0842
2022-01-01,524.7001
2022-02-01,547.448
2022-03-01,577.6959
2022-04-01,608.0932
2022-05-01,635.8157
2022-06-01,667.7975
2022-07-01,721.9398
2022-08-01,784.4224
2022-09-01,837.7345
2022-10-01,889.2464
2022-11-01,941.1822
2022-12-01,995.2681
2023-01-01,1062.9991
2023-02-01,1131.9624
2023-03-01,1203.4429
2023-04-01,1282.7938
2023-05-01,1373.9512
2023-06-01,1464.0524
2023-07-01,1556.5397
2023-08-01,1702.3856
2023-09-01,1901.2072
2023-10-01,2046.9768
2023-11-01,2282.6739
2023-12-01,3029.3357
2024-01-01,4373.2672
2024-02-01,5098.6735
2024-03-01,5586.4345
2024-04-01,5903.8543
2024-05-01,6157.7063
2024-06-01,6327.35
2024-07-01,6545.9203
2024-08-01,6694.7187
2024-09-01,6918.4736
2024-10-01,7112.7304
2024-11-01,7275.1468
2024-12-01,7430.8945
2025-01-01,7614.4036
2025-02-01,7837.1446
2025-03-01,8084.5484
2025-04-01,8290.2259
2025-05-01,8504.0579
2025-06-01,8588.9464
2025-07-01,8772.9432
2025-08-01,8970.2821
2025-09-01,9162.4211
2025-10-01,9386.3089
2025-11-01,9621.3785
2025-12-01,9875.41
2026-01-01,10144.8418
2026-02-01,10476.9884
2026-03-01,10653.9253
2026-04-01,10914.151
2026-05-01,11171.6219
2026-06-01,11373.1428
2026-07-01,11628.3085
