"fecha","valor"
2016-12-01,100
2017-01-01,103.0516
2017-02-01,107.2514
2017-03-01,110.6933
2017-04-01,118.2686
2017-05-01,118.6553
2017-06-01,120.1049
2017-07-01,121.2281
2017-08-01,123.052
2017-09-01,124.3454
2017-10-01,130.9342
2017-11-01,131.8833
2017-12-01,134.1367
2018-01-01,136.6524
2018-02-01,149.113
2018-03-01,153.2069
2018-04-01,154.7928
2018-05-01,160.8721
2018-06-01,161.4822
2018-07-01,162.4498
2018-08-01,182.6004
2018-09-01,186.4637
2018-10-01,187.8155
2018-11-01,193.5208
2018-12-01,208.333
2019-01-01,223.7092
2019-02-01,226.1415
2019-03-01,236.0623
2019-04-01,244.3102
2019-05-01,249.1176
2019-06-01,266.8665
2019-07-01,267.4442
2019-08-01,270.5675
2019-09-01,288.7594
2019-10-01,290.1029
2019-11-01,311.5568
2019-12-01,341.3832
2020-01-01,341.8435
2020-02-01,349.775
2020-03-01,378.653
2020-04-01,363.1467
2020-05-01,364.3572
2020-06-01,365.8524
2020-07-01,368.496
2020-08-01,369.5853
2020-09-01,370.0946
2020-10-01,369.6031
2020-11-01,367.4745
2020-12-01,367.3696
2021-01-01,422.9513
2021-02-01,430.6911
2021-03-01,430.982
2021-04-01,433.2713
2021-05-01,437.5563
2021-06-01,468.3691
2021-07-01,470.0952
2021-08-01,467.3059
2021-09-01,480.2655
2021-10-01,485.73
2021-11-01,489.7423
2021-12-01,498.8013
2022-01-01,536.1267
2022-02-01,544.0338
2022-03-01,562.7616
2022-04-01,583.3455
2022-05-01,601.2442
2022-06-01,603.5522
2022-07-01,636.8292
2022-08-01,662.6492
2022-09-01,678.9797
2022-10-01,761.29
2022-11-01,809.6802
2022-12-01,837.1999
2023-01-01,903.9001
2023-02-01,974.8005
2023-03-01,993.4553
2023-04-01,1055.7168
2023-05-01,1126.7574
2023-06-01,1244.8
2023-07-01,1396.2642
2023-08-01,1458.9608
2023-09-01,1598.7345
2023-10-01,1800.8697
2023-11-01,2074.7351
2023-12-01,2398.1411
2024-01-01,3000.0919
2024-02-01,3741.4942
2024-03-01,4338.0607
2024-04-01,4952.6903
2024-05-01,5359.4587
2024-06-01,5644.1836
2024-07-01,5844.002
2024-08-01,6127.5967
2024-09-01,6310.1757
2024-10-01,6440.16
2024-11-01,6539.2377
2024-12-01,6869.1427
2025-01-01,7030.3817
2025-02-01,7191.0294
2025-03-01,7371.0947
2025-04-01,7577.0727
2025-05-01,7889.7331
2025-06-01,8030.954
2025-07-01,8214.616
2025-08-01,8369.2742
2025-09-01,8550.2948
2025-10-01,8739.731
2025-11-01,8974.1837
2025-12-01,9271.0637
2026-01-01,9607.476
2026-02-01,9784.5611
2026-03-01,10069.9375
2026-04-01,10478.7314
2026-05-01,10838.4277
2026-06-01,10933.5551
2026-07-01,11194.2601
