"fecha","valor"
2016-12-01,100
2017-01-01,100.7952
2017-02-01,103.9808
2017-03-01,115.3409
2017-04-01,118.6783
2017-05-01,120.69
2017-06-01,121.8757
2017-07-01,122.8868
2017-08-01,125.3185
2017-09-01,129.9791
2017-10-01,131.0253
2017-11-01,131.4832
2017-12-01,131.4716
2018-01-01,132.3079
2018-02-01,134.8324
2018-03-01,153.4357
2018-04-01,154.6926
2018-05-01,156.0746
2018-06-01,157.9789
2018-07-01,160.7826
2018-08-01,163.8623
2018-09-01,166.5346
2018-10-01,170.0009
2018-11-01,171.9664
2018-12-01,173.7237
2019-01-01,174.7196
2019-02-01,177.646
2019-03-01,209.4616
2019-04-01,212.6984
2019-05-01,219.6863
2019-06-01,223.5381
2019-07-01,228.213
2019-08-01,233.9485
2019-09-01,236.3192
2019-10-01,240.0651
2019-11-01,250.6401
2019-12-01,255.5638
2020-01-01,256.9216
2020-02-01,260.6158
2020-03-01,306.0975
2020-04-01,301.6002
2020-05-01,300.3424
2020-06-01,301.4521
2020-07-01,301.7724
2020-08-01,304.0824
2020-09-01,304.9813
2020-10-01,305.3871
2020-11-01,306.746
2020-12-01,306.8977
2021-01-01,308.6755
2021-02-01,309.01
2021-03-01,397.0482
2021-04-01,406.8828
2021-05-01,416.1535
2021-06-01,420.9305
2021-07-01,431.6135
2021-08-01,449.9
2021-09-01,463.9288
2021-10-01,470.3893
2021-11-01,474.3662
2021-12-01,479.1164
2022-01-01,482.7713
2022-02-01,495.5553
2022-03-01,612.6821
2022-04-01,635.5003
2022-05-01,656.1411
2022-06-01,669.445
2022-07-01,710.2816
2022-08-01,745.7268
2022-09-01,772.9974
2022-10-01,827.9004
2022-11-01,859.0553
2022-12-01,892.6222
2023-01-01,902.0686
2023-02-01,930.4868
2023-03-01,1201.1258
2023-04-01,1261.5273
2023-05-01,1323.5067
2023-06-01,1410.4778
2023-07-01,1496.9625
2023-08-01,1626.7843
2023-09-01,1759.2371
2023-10-01,1875.3143
2023-11-01,2031.1533
2023-12-01,2157.4419
2024-01-01,2176.0052
2024-02-01,2392.1354
2024-03-01,3653.0356
2024-04-01,3966.8821
2024-05-01,4269.9374
2024-06-01,4514.8581
2024-07-01,4704.182
2024-08-01,5013.1678
2024-09-01,5229.2692
2024-10-01,5409.7822
2024-11-01,5686.2954
2024-12-01,5812.5191
2025-01-01,5844.2136
2025-02-01,5980.8655
2025-03-01,7275.3457
2025-04-01,7455.8399
2025-05-01,7595.3193
2025-06-01,7875.8853
2025-07-01,8027.0607
2025-08-01,8230.8327
2025-09-01,8483.1542
2025-10-01,8626.8402
2025-11-01,8819.1806
2025-12-01,8851.3058
2026-01-01,8906.6187
2026-02-01,9010.4
2026-03-01,10103.1575
2026-04-01,10532.1344
2026-05-01,10840.9295
2026-06-01,11025.3986
2026-07-01,11235.6659
