"fecha","valor"
2016-12-01,100
2017-01-01,100.8773
2017-02-01,101.3278
2017-03-01,102.1787
2017-04-01,103.3147
2017-05-01,106.1577
2017-06-01,107.4904
2017-07-01,110.0984
2017-08-01,111.1513
2017-09-01,112.2879
2017-10-01,113.0973
2017-11-01,114.1215
2017-12-01,117.436
2018-01-01,118.6538
2018-02-01,120.7253
2018-03-01,126.1821
2018-04-01,127.7561
2018-05-01,130.576
2018-06-01,135.829
2018-07-01,141.5414
2018-08-01,145.9741
2018-09-01,160.1563
2018-10-01,167.0385
2018-11-01,172.9721
2018-12-01,176.1826
2019-01-01,180.8936
2019-02-01,185.932
2019-03-01,192.9944
2019-04-01,201.8547
2019-05-01,208.3447
2019-06-01,215.4878
2019-07-01,220.9243
2019-08-01,234.3379
2019-09-01,251.7058
2019-10-01,272.1918
2019-11-01,273.7052
2019-12-01,288.4718
2020-01-01,284.7446
2020-02-01,290.661
2020-03-01,299.0795
2020-04-01,302.7645
2020-05-01,311.3316
2020-06-01,323.992
2020-07-01,336.5455
2020-08-01,348.1836
2020-09-01,357.1864
2020-10-01,373.2176
2020-11-01,387.9375
2020-12-01,397.2227
2021-01-01,409.0026
2021-02-01,427.6367
2021-03-01,441.1744
2021-04-01,460.1121
2021-05-01,470.991
2021-06-01,486.2222
2021-07-01,499.4892
2021-08-01,515.857
2021-09-01,533.8161
2021-10-01,548.5192
2021-11-01,563.3426
2021-12-01,582.338
2022-01-01,601.6662
2022-02-01,628.3237
2022-03-01,655.8863
2022-04-01,691.9571
2022-05-01,728.9951
2022-06-01,772.6412
2022-07-01,852.4176
2022-08-01,924.2301
2022-09-01,980.1201
2022-10-01,1028.4132
2022-11-01,1084.1626
2022-12-01,1148.5321
2023-01-01,1210.6926
2023-02-01,1271.8967
2023-03-01,1345.7519
2023-04-01,1462.0471
2023-05-01,1590.1014
2023-06-01,1717.2201
2023-07-01,1822.9318
2023-08-01,2079.2711
2023-09-01,2342.3942
2023-10-01,2592.8927
2023-11-01,2915.5922
2023-12-01,3810.0606
2024-01-01,4660.7816
2024-02-01,5142.1336
2024-03-01,5400.7512
2024-04-01,5751.7902
2024-05-01,5937.4758
2024-06-01,6073.2079
2024-07-01,6282.946
2024-08-01,6550.7845
2024-09-01,6727.2351
2024-10-01,6903.0355
2024-11-01,7007.1565
2024-12-01,7073.5091
2025-01-01,7187.8539
2025-02-01,7260.6442
2025-03-01,7368.221
2025-04-01,7437.0978
2025-05-01,7540.4993
2025-06-01,7683.5823
2025-07-01,7801.8271
2025-08-01,7874.7486
2025-09-01,8048.6896
2025-10-01,8179.996
2025-11-01,8271.6454
2025-12-01,8436.8959
2026-01-01,8591.3743
2026-02-01,8811.537
2026-03-01,8925.2054
2026-04-01,9182.794
2026-05-01,9312.2108
2026-06-01,9455.0367
2026-07-01,9653.7167
