"fecha","valor"
2016-12-01,100
2017-01-01,99.0066
2017-02-01,98.8523
2017-03-01,102.255
2017-04-01,106.8806
2017-05-01,108.726
2017-06-01,109.6911
2017-07-01,108.3524
2017-08-01,107.6769
2017-09-01,111.7682
2017-10-01,114.138
2017-11-01,115.6644
2017-12-01,116.6315
2018-01-01,115.7454
2018-02-01,115.036
2018-03-01,120.0687
2018-04-01,124.9254
2018-05-01,127.3628
2018-06-01,129.8016
2018-07-01,129.6084
2018-08-01,130.051
2018-09-01,142.776
2018-10-01,149.9773
2018-11-01,153.444
2018-12-01,155.1797
2019-01-01,154.3105
2019-02-01,155.7973
2019-03-01,166.0308
2019-04-01,176.3303
2019-05-01,182.2453
2019-06-01,185.7061
2019-07-01,186.345
2019-08-01,192.1506
2019-09-01,210.4983
2019-10-01,220.4635
2019-11-01,230.249
2019-12-01,235.763
2020-01-01,238.2562
2020-02-01,243.9437
2020-03-01,254.1219
2020-04-01,257.9206
2020-05-01,277.3804
2020-06-01,295.818
2020-07-01,305.5099
2020-08-01,312.2789
2020-09-01,330.5055
2020-10-01,351.1551
2020-11-01,364.0892
2020-12-01,377.2469
2021-01-01,382.4282
2021-02-01,393.1944
2021-03-01,435.7025
2021-04-01,461.9321
2021-05-01,471.6343
2021-06-01,487.9626
2021-07-01,494.0248
2021-08-01,510.8956
2021-09-01,541.712
2021-10-01,569.4577
2021-11-01,592.8289
2021-12-01,621.094
2022-01-01,635.994
2022-02-01,657.5762
2022-03-01,728.959
2022-04-01,801.0762
2022-05-01,847.1542
2022-06-01,895.8753
2022-07-01,971.758
2022-08-01,1067.5251
2022-09-01,1180.9506
2022-10-01,1261.5985
2022-11-01,1318.2609
2022-12-01,1371.3368
2023-01-01,1402.845
2023-02-01,1457.7661
2023-03-01,1595.0861
2023-04-01,1768.0967
2023-05-01,1903.1899
2023-06-01,1983.4012
2023-07-01,2043.7327
2023-08-01,2230.5776
2023-09-01,2581.0642
2023-10-01,2864.6053
2023-11-01,3151.4751
2023-12-01,3694.929
2024-01-01,4135.7944
2024-02-01,4434.676
2024-03-01,4919.1559
2024-04-01,5392.8345
2024-05-01,5584.1343
2024-06-01,5736.1025
2024-07-01,5829.6937
2024-08-01,5949.5541
2024-09-01,6308.9971
2024-10-01,6588.1894
2024-11-01,6713.0284
2024-12-01,6817.1412
2025-01-01,6772.1731
2025-02-01,6800.5997
2025-03-01,7112.5925
2025-04-01,7385.4063
2025-05-01,7453.7558
2025-06-01,7490.0195
2025-07-01,7420.9382
2025-08-01,7401.8179
2025-09-01,7553.7487
2025-10-01,7736.2575
2025-11-01,7776.5032
2025-12-01,7861.3245
2026-01-01,7825.2642
2026-02-01,7824.4543
2026-03-01,8067.5324
2026-04-01,8326.6612
2026-05-01,8350.2424
2026-06-01,8384.717
2026-07-01,8272.2793
