"fecha","valor"
2016-12-01,100
2017-01-01,103.1906
2017-02-01,103.7961
2017-03-01,105.5114
2017-04-01,108.2881
2017-05-01,109.0808
2017-06-01,111.6195
2017-07-01,115.609
2017-08-01,116.3997
2017-09-01,119.536
2017-10-01,121.032
2017-11-01,121.8725
2017-12-01,122.7547
2018-01-01,127.0012
2018-02-01,128.2519
2018-03-01,129.8108
2018-04-01,132.3056
2018-05-01,135.6359
2018-06-01,140.1805
2018-07-01,147.2814
2018-08-01,152.1489
2018-09-01,162.4851
2018-10-01,166.9487
2018-11-01,171.6321
2018-12-01,176.0803
2019-01-01,182.2543
2019-02-01,186.2753
2019-03-01,189.9687
2019-04-01,195.9999
2019-05-01,200.6997
2019-06-01,208.1341
2019-07-01,216.1836
2019-08-01,225.1959
2019-09-01,242.2378
2019-10-01,247.0628
2019-11-01,255.3408
2019-12-01,261.4482
2020-01-01,274.5141
2020-02-01,280.5764
2020-03-01,287.5823
2020-04-01,294.2192
2020-05-01,301.4356
2020-06-01,314.005
2020-07-01,324.3321
2020-08-01,335.0449
2020-09-01,341.3154
2020-10-01,350.1056
2020-11-01,367.9236
2020-12-01,387.0686
2021-01-01,405.7084
2021-02-01,415.0224
2021-03-01,437.1879
2021-04-01,443.676
2021-05-01,457.4624
2021-06-01,467.7135
2021-07-01,482.1844
2021-08-01,500.0179
2021-09-01,518.8505
2021-10-01,539.5742
2021-11-01,547.4789
2021-12-01,569.1202
2022-01-01,593.0751
2022-02-01,606.6697
2022-03-01,626.8734
2022-04-01,659.6448
2022-05-01,693.9163
2022-06-01,724.0064
2022-07-01,819.4993
2022-08-01,860.7132
2022-09-01,905.8061
2022-10-01,956.8276
2022-11-01,996.7277
2022-12-01,1042.694
2023-01-01,1136.1135
2023-02-01,1205.9377
2023-03-01,1258.7738
2023-04-01,1353.7339
2023-05-01,1466.9417
2023-06-01,1561.7425
2023-07-01,1736.5158
2023-08-01,1937.7153
2023-09-01,2230.9342
2023-10-01,2438.4348
2023-11-01,2760.0532
2023-12-01,3317.3409
2024-01-01,4113.85
2024-02-01,4466.7506
2024-03-01,4846.7452
2024-04-01,5192.8995
2024-05-01,5429.4701
2024-06-01,5734.3613
2024-07-01,6059.3057
2024-08-01,6282.238
2024-09-01,6416.1845
2024-10-01,6599.9443
2024-11-01,6798.7313
2024-12-01,6988.4998
2025-01-01,7160.6092
2025-02-01,7370.3538
2025-03-01,7382.2025
2025-04-01,7676.2045
2025-05-01,7807.3673
2025-06-01,8000.1427
2025-07-01,8384.8501
2025-08-01,8429.7057
2025-09-01,8542.3767
2025-10-01,8680.0313
2025-11-01,8892.1372
2025-12-01,9118.0448
2026-01-01,9211.9913
2026-02-01,9427.9443
2026-03-01,9763.4636
2026-04-01,9860.2728
2026-05-01,10132.3705
2026-06-01,10556.461
2026-07-01,11085.7507
