"fecha","valor"
2016-12-01,100
2017-01-01,103.1002
2017-02-01,104.8886
2017-03-01,105.9567
2017-04-01,107.9795
2017-05-01,109.5541
2017-06-01,110.9475
2017-07-01,113.777
2017-08-01,114.5928
2017-09-01,116.2141
2017-10-01,117.834
2017-11-01,119.9896
2017-12-01,122.136
2018-01-01,125.7038
2018-02-01,128.3425
2018-03-01,130.5949
2018-04-01,133.5827
2018-05-01,136.7886
2018-06-01,140.423
2018-07-01,144.436
2018-08-01,147.9425
2018-09-01,156.4246
2018-10-01,161.2576
2018-11-01,165.4071
2018-12-01,169.794
2019-01-01,176.1325
2019-02-01,182.5376
2019-03-01,190.4396
2019-04-01,198.2112
2019-05-01,202.6055
2019-06-01,207.737
2019-07-01,213.878
2019-08-01,221.5727
2019-09-01,233.2019
2019-10-01,239.127
2019-11-01,247.0036
2019-12-01,255.1194
2020-01-01,265.7678
2020-02-01,273.9206
2020-03-01,279.826
2020-04-01,284.0325
2020-05-01,288.4158
2020-06-01,294.9019
2020-07-01,300.6189
2020-08-01,306.2356
2020-09-01,311.5692
2020-10-01,322.1058
2020-11-01,332.4733
2020-12-01,347.7424
2021-01-01,366.4717
2021-02-01,386.2568
2021-03-01,398.4108
2021-04-01,413.8512
2021-05-01,429.2946
2021-06-01,442.6958
2021-07-01,463.7774
2021-08-01,477.4438
2021-09-01,496.8871
2021-10-01,517.4057
2021-11-01,543.1712
2021-12-01,575.1289
2022-01-01,607.7867
2022-02-01,634.0233
2022-03-01,668.4613
2022-04-01,717.5668
2022-05-01,758.3527
2022-06-01,805.4594
2022-07-01,884.0683
2022-08-01,942.9087
2022-09-01,988.6307
2022-10-01,1061.9488
2022-11-01,1120.5659
2022-12-01,1200.8127
2023-01-01,1275.6081
2023-02-01,1371.9038
2023-03-01,1479.9582
2023-04-01,1626.3026
2023-05-01,1778.1049
2023-06-01,1890.0322
2023-07-01,2030.866
2023-08-01,2283.6173
2023-09-01,2586.0182
2023-10-01,2813.2083
2023-11-01,3151.623
2023-12-01,3831.9303
2024-01-01,4577.1896
2024-02-01,5088.0444
2024-03-01,5511.0135
2024-04-01,5912.6182
2024-05-01,6240.627
2024-06-01,6632.3116
2024-07-01,7061.2046
2024-08-01,7403.1627
2024-09-01,7673.8443
2024-10-01,8000.7985
2024-11-01,8290.1033
2024-12-01,8670.0443
2025-01-01,9132.8654
2025-02-01,9339.177
2025-03-01,9702.5819
2025-04-01,10102.2226
2025-05-01,10406.4718
2025-06-01,10624.8993
2025-07-01,10917.6195
2025-08-01,11291.3028
2025-09-01,11412.4415
2025-10-01,11665.8824
2025-11-01,11952.2159
2025-12-01,12333.0229
2026-01-01,12843.2705
2026-02-01,13228.6515
2026-03-01,13684.7468
2026-04-01,14041.1974
2026-05-01,14291.4848
2026-06-01,14524.0788
2026-07-01,14923.8212
