"fecha","valor"
2016-12-01,100
2017-01-01,102.3501
2017-02-01,105.0852
2017-03-01,107.1422
2017-04-01,109.052
2017-05-01,110.7256
2017-06-01,112.3558
2017-07-01,116.0848
2017-08-01,119.0025
2017-09-01,121.8977
2017-10-01,123.2121
2017-11-01,124.8225
2017-12-01,127.7938
2018-01-01,130.037
2018-02-01,133.0853
2018-03-01,134.821
2018-04-01,137.2231
2018-05-01,140.2549
2018-06-01,146.2916
2018-07-01,150.399
2018-08-01,156.5273
2018-09-01,163.6215
2018-10-01,172.5763
2018-11-01,182.333
2018-12-01,191.9052
2019-01-01,197.4877
2019-02-01,203.7521
2019-03-01,210.369
2019-04-01,217.7389
2019-05-01,228.7921
2019-06-01,236.9165
2019-07-01,246.6508
2019-08-01,259.4603
2019-09-01,281.0982
2019-10-01,294.2595
2019-11-01,312.847
2019-12-01,330.324
2020-01-01,323.7294
2020-02-01,325.1671
2020-03-01,333.8163
2020-04-01,337.7523
2020-05-01,341.3461
2020-06-01,348.9759
2020-07-01,356.5467
2020-08-01,365.1113
2020-09-01,377.8509
2020-10-01,389.5109
2020-11-01,403.8029
2020-12-01,424.9668
2021-01-01,439.3776
2021-02-01,454.7265
2021-03-01,472.856
2021-04-01,490.482
2021-05-01,513.7918
2021-06-01,530.2766
2021-07-01,550.5464
2021-08-01,573.6501
2021-09-01,598.3555
2021-10-01,626.6749
2021-11-01,641.9374
2021-12-01,645.1434
2022-01-01,671.6729
2022-02-01,696.1161
2022-03-01,730.5922
2022-04-01,777.2991
2022-05-01,825.5739
2022-06-01,886.798
2022-07-01,947.493
2022-08-01,1001.738
2022-09-01,1045.0789
2022-10-01,1119.4447
2022-11-01,1165.2705
2022-12-01,1231.4648
2023-01-01,1291.7546
2023-02-01,1360.5006
2023-03-01,1438.3163
2023-04-01,1532.9719
2023-05-01,1671.6594
2023-06-01,1815.4471
2023-07-01,1979.4087
2023-08-01,2281.5545
2023-09-01,2499.2627
2023-10-01,2626.9102
2023-11-01,3043.8555
2023-12-01,4035.9697
2024-01-01,4861.4923
2024-02-01,5521.4252
2024-03-01,6195.6447
2024-04-01,6761.4824
2024-05-01,6807.8755
2024-06-01,7130.9268
2024-07-01,7548.0608
2024-08-01,7860.4897
2024-09-01,8122.6169
2024-10-01,8412.0394
2024-11-01,8657.936
2024-12-01,8840.1889
2025-01-01,9050.371
2025-02-01,9236.2844
2025-03-01,9406.4734
2025-04-01,9641.606
2025-05-01,9905.8259
2025-06-01,10119.3057
2025-07-01,10234.5966
2025-08-01,10410.6938
2025-09-01,10648.1896
2025-10-01,10842.673
2025-11-01,11102.6118
2025-12-01,11335.1633
2026-01-01,11600.3264
2026-02-01,11886.5002
2026-03-01,12201.3116
2026-04-01,12508.3899
2026-05-01,12832.0291
2026-06-01,13200.749
2026-07-01,13536.8295
