"fecha","valor"
2016-12-01,100
2017-01-01,102.0755
2017-02-01,103.9957
2017-03-01,105.2177
2017-04-01,105.8674
2017-05-01,106.8575
2017-06-01,107.5925
2017-07-01,109.9058
2017-08-01,111.0994
2017-09-01,111.9943
2017-10-01,113.4318
2017-11-01,116.8496
2017-12-01,120.6253
2018-01-01,123.2423
2018-02-01,128.7666
2018-03-01,131.0603
2018-04-01,136.3269
2018-05-01,138.9243
2018-06-01,147.1719
2018-07-01,154.8231
2018-08-01,161.083
2018-09-01,177.8431
2018-10-01,191.3913
2018-11-01,196.5066
2018-12-01,201.2271
2019-01-01,206.205
2019-02-01,210.7001
2019-03-01,219.4872
2019-04-01,229.0584
2019-05-01,237.057
2019-06-01,240.7657
2019-07-01,243.5064
2019-08-01,253.1342
2019-09-01,265.0598
2019-10-01,274.3506
2019-11-01,286.9334
2019-12-01,301.1997
2020-01-01,305.6389
2020-02-01,310.5997
2020-03-01,315.6444
2020-04-01,319.8688
2020-05-01,323.2338
2020-06-01,329.1348
2020-07-01,335.1763
2020-08-01,344.7144
2020-09-01,357.1236
2020-10-01,371.9913
2020-11-01,385.4469
2020-12-01,404.314
2021-01-01,422.9057
2021-02-01,443.3079
2021-03-01,461.8773
2021-04-01,487.9806
2021-05-01,517.0463
2021-06-01,533.8777
2021-07-01,546.1141
2021-08-01,559.4713
2021-09-01,576.4905
2021-10-01,594.2962
2021-11-01,607.3504
2021-12-01,637.3158
2022-01-01,654.8718
2022-02-01,687.1919
2022-03-01,724.8465
2022-04-01,763.5071
2022-05-01,810.22
2022-06-01,848.636
2022-07-01,895.3078
2022-08-01,956.4746
2022-09-01,1012.0676
2022-10-01,1057.3307
2022-11-01,1121.731
2022-12-01,1186.6265
2023-01-01,1257.1122
2023-02-01,1318.1813
2023-03-01,1388.1661
2023-04-01,1477.7098
2023-05-01,1597.93
2023-06-01,1701.7574
2023-07-01,1791.7559
2023-08-01,1979.0901
2023-09-01,2193.7362
2023-10-01,2349.1266
2023-11-01,2593.1752
2023-12-01,3414.0727
2024-01-01,4311.5901
2024-02-01,5243.4233
2024-03-01,5923.314
2024-04-01,6293.903
2024-05-01,6544.312
2024-06-01,6801.4888
2024-07-01,6978.9894
2024-08-01,7334.9917
2024-09-01,7585.411
2024-10-01,7677.7334
2024-11-01,7939.9441
2024-12-01,8118.1059
2025-01-01,8217.8419
2025-02-01,8359.8681
2025-03-01,8502.5399
2025-04-01,8644.5585
2025-05-01,8676.0013
2025-06-01,8816.3323
2025-07-01,9061.1273
2025-08-01,9384.5631
2025-09-01,9663.0675
2025-10-01,9997.0294
2025-11-01,10299.7148
2025-12-01,10712.0821
2026-01-01,10909.2325
2026-02-01,11124.8788
2026-03-01,11583.956
2026-04-01,12091.593
2026-05-01,12330.5017
2026-06-01,12531.7975
2026-07-01,12767.6573
