"fecha","valor"
2016-12-01,100
2017-01-01,101.4784
2017-02-01,107.0014
2017-03-01,110.8463
2017-04-01,117.4108
2017-05-01,119.5207
2017-06-01,121.6359
2017-07-01,124.0879
2017-08-01,126.7648
2017-09-01,129.2656
2017-10-01,130.4139
2017-11-01,132.0294
2017-12-01,155.5929
2018-01-01,157.216
2018-02-01,163.1754
2018-03-01,164.1018
2018-04-01,177.2462
2018-05-01,175.9498
2018-06-01,180.6206
2018-07-01,182.4306
2018-08-01,193.6678
2018-09-01,198.1079
2018-10-01,215.507
2018-11-01,220.0981
2018-12-01,226.6993
2019-01-01,233.7201
2019-02-01,248.6768
2019-03-01,255.6783
2019-04-01,263.2012
2019-05-01,273.6695
2019-06-01,281.0736
2019-07-01,287.2242
2019-08-01,293.329
2019-09-01,299.168
2019-10-01,304.8007
2019-11-01,309.4466
2019-12-01,316.0254
2020-01-01,318.0346
2020-02-01,319.9809
2020-03-01,324.3739
2020-04-01,324.3903
2020-05-01,324.7404
2020-06-01,327.7297
2020-07-01,331.0918
2020-08-01,338.8038
2020-09-01,343.9618
2020-10-01,351.9646
2020-11-01,360.8388
2020-12-01,371.5185
2021-01-01,375.7501
2021-02-01,383.4268
2021-03-01,388.4775
2021-04-01,401.9368
2021-05-01,410.1034
2021-06-01,420.2876
2021-07-01,432.405
2021-08-01,437.3723
2021-09-01,445.7672
2021-10-01,456.979
2021-11-01,466.9551
2021-12-01,476.8025
2022-01-01,485.193
2022-02-01,498.9476
2022-03-01,537.1626
2022-04-01,561.7478
2022-05-01,581.7106
2022-06-01,621.3286
2022-07-01,649.6896
2022-08-01,685.6993
2022-09-01,706.9826
2022-10-01,759.7711
2022-11-01,825.5091
2022-12-01,860.1091
2023-01-01,929.1621
2023-02-01,973.7901
2023-03-01,1037.2344
2023-04-01,1095.5146
2023-05-01,1225.368
2023-06-01,1324.556
2023-07-01,1377.3341
2023-08-01,1503.1732
2023-09-01,1630.2974
2023-10-01,1757.5929
2023-11-01,1881.818
2023-12-01,2141.8205
2024-01-01,2441.8481
2024-02-01,2935.5879
2024-03-01,3324.6647
2024-04-01,4509.3648
2024-05-01,4623.3551
2024-06-01,5283.2155
2024-07-01,5600.4988
2024-08-01,5995.2852
2024-09-01,6433.362
2024-10-01,6780.4099
2024-11-01,7083.0305
2024-12-01,7457.2259
2025-01-01,7757.8158
2025-02-01,8048.663
2025-03-01,8279.5282
2025-04-01,8435.1033
2025-05-01,8641.5515
2025-06-01,8939.0041
2025-07-01,9071.797
2025-08-01,9314.2826
2025-09-01,9605.6566
2025-10-01,9874.9092
2025-11-01,10213.7353
2025-12-01,10561.7634
2026-01-01,10879.7233
2026-02-01,11614.1853
2026-03-01,12045.2252
2026-04-01,12470.6962
2026-05-01,12790.0776
2026-06-01,13213.1497
2026-07-01,13505.3648
