"fecha","valor"
2016-12-01,100
2017-01-01,101.8183
2017-02-01,105.9316
2017-03-01,110.0057
2017-04-01,114.4649
2017-05-01,115.6559
2017-06-01,116.6875
2017-07-01,119.3618
2017-08-01,121.1349
2017-09-01,123.2159
2017-10-01,125.2808
2017-11-01,127.1472
2017-12-01,138.6978
2018-01-01,141.6541
2018-02-01,148.4773
2018-03-01,151.4854
2018-04-01,159.451
2018-05-01,160.024
2018-06-01,164.7325
2018-07-01,168.9885
2018-08-01,179.4614
2018-09-01,187.9015
2018-10-01,201.8885
2018-11-01,207.5084
2018-12-01,212.85
2019-01-01,220.132
2019-02-01,229.4204
2019-03-01,240.6717
2019-04-01,248.5813
2019-05-01,257.831
2019-06-01,265.016
2019-07-01,269.7964
2019-08-01,275.5073
2019-09-01,284.7479
2019-10-01,290.513
2019-11-01,301.6025
2019-12-01,315.4936
2020-01-01,319.0685
2020-02-01,321.3104
2020-03-01,331.8502
2020-04-01,329.6516
2020-05-01,329.372
2020-06-01,331.8382
2020-07-01,333.55
2020-08-01,336.9087
2020-09-01,343.4046
2020-10-01,348.5355
2020-11-01,352.7236
2020-12-01,362.0665
2021-01-01,380.6817
2021-02-01,388.8788
2021-03-01,406.4306
2021-04-01,420.7778
2021-05-01,436.6403
2021-06-01,450.6922
2021-07-01,457.2079
2021-08-01,462.3809
2021-09-01,476.0569
2021-10-01,485.2106
2021-11-01,490.2282
2021-12-01,498.6315
2022-01-01,512.3766
2022-02-01,528.2683
2022-03-01,572.7992
2022-04-01,595.2223
2022-05-01,629.0029
2022-06-01,662.0938
2022-07-01,694.6115
2022-08-01,738.3105
2022-09-01,771.8891
2022-10-01,829.1011
2022-11-01,880.7676
2022-12-01,925.7853
2023-01-01,991.5192
2023-02-01,1042.4951
2023-03-01,1128.8908
2023-04-01,1184.1465
2023-05-01,1291.1045
2023-06-01,1383.8634
2023-07-01,1476.8552
2023-08-01,1599.0767
2023-09-01,1732.073
2023-10-01,1846.7566
2023-11-01,2032.4708
2023-12-01,2452.7844
2024-01-01,3104.5367
2024-02-01,3759.784
2024-03-01,4441.3132
2024-04-01,5258.2523
2024-05-01,5469.5
2024-06-01,5910.154
2024-07-01,6166.198
2024-08-01,6529.3696
2024-09-01,6825.2577
2024-10-01,7009.2808
2024-11-01,7257.6652
2024-12-01,7502.5373
2025-01-01,7698.607
2025-02-01,7877.3099
2025-03-01,8129.994
2025-04-01,8273.8986
2025-05-01,8382.4957
2025-06-01,8569.0645
2025-07-01,8766.629
2025-08-01,9000.5641
2025-09-01,9237.6711
2025-10-01,9474.6115
2025-11-01,9748.309
2025-12-01,10069.0986
2026-01-01,10313.8016
2026-02-01,10752.23
2026-03-01,11298.7045
2026-04-01,11828.0421
2026-05-01,12111.4533
2026-06-01,12389.4344
2026-07-01,12652.9797
