"fecha","valor"
2015-10-01,73.97
2015-11-01,75.95
2015-12-01,77.36
2016-01-01,78.93
2016-02-01,80.04
2016-03-01,80.8
2016-04-01,85.92
2016-05-01,88.74
2016-06-01,90.15
2016-07-01,93.35
2016-08-01,95.05
2016-09-01,96.63
2016-10-01,100
2016-11-01,101.8
2016-12-01,102.89
2017-01-01,106.34
2017-02-01,107.69
2017-03-01,109.26
2017-04-01,112.93
2017-05-01,115.18
2017-06-01,117.23
2017-07-01,122.8
2017-08-01,124.55
2017-09-01,126
2017-10-01,128.23
2017-11-01,130.04
2017-12-01,131.01
2018-01-01,133.25
2018-02-01,134.31
2018-03-01,136.23
2018-04-01,141.01
2018-05-01,144.47
2018-06-01,146.47
2018-07-01,149.94
2018-08-01,154.2
2018-09-01,157.82
2018-10-01,163.86
2018-11-01,168.06
2018-12-01,170.85
2019-01-01,176.91
2019-02-01,181.76
2019-03-01,188.26
2019-04-01,193.47
2019-05-01,201.66
2019-06-01,206.99
2019-07-01,215.86
2019-08-01,221.87
2019-09-01,227.72
2019-10-01,236.31
2019-11-01,242.85
2019-12-01,246.54
2020-01-01,267.6
2020-02-01,279.97
2020-03-01,286.4
2020-04-01,285.74
2020-05-01,285.06
2020-06-01,285.44
2020-07-01,289.19
2020-08-01,295.13
2020-09-01,301.54
2020-10-01,317.66
2020-11-01,326.04
2020-12-01,331.26
2021-01-01,344.61
2021-02-01,362.33
2021-03-01,376.68
2021-04-01,394.54
2021-05-01,408.38
2021-06-01,415.55
2021-07-01,437
2021-08-01,451.64
2021-09-01,467.91
2021-10-01,485.29
2021-11-01,507
2021-12-01,514.34
2022-01-01,538.17
2022-02-01,559.01
2022-03-01,589.31
2022-04-01,622.29
2022-05-01,665.66
2022-06-01,699.36
2022-07-01,737.01
2022-08-01,797.04
2022-09-01,843.4
2022-10-01,888.1
2022-11-01,953.34
2022-12-01,996.62
2023-01-01,1042.37
2023-02-01,1114.31
2023-03-01,1202.08
2023-04-01,1284.57
2023-05-01,1389.24
2023-06-01,1468.48
2023-07-01,1626.81
2023-08-01,1762.46
2023-09-01,1995.58
2023-10-01,2169.81
2023-11-01,2385.55
2023-12-01,2648.87
2024-01-01,3178.28
2024-02-01,3625.42
2024-03-01,3987.49
2024-04-01,4464.6
2024-05-01,4807.34
2024-06-01,5129.04
2024-07-01,5450.78
2024-08-01,5725.38
2024-09-01,5941.03
2024-10-01,6175.77
2024-11-01,6378.33
2024-12-01,6556.47
2025-01-01,6707.3
2025-02-01,6862.13
2025-03-01,7010.54
2025-04-01,7187.95
2025-05-01,7329.99
2025-06-01,7457.02
2025-07-01,7619.01
2025-08-01,7789.94
2025-09-01,7896.9
2025-10-01,8061.11
2025-11-01,8232.68
2025-12-01,8441
2026-01-01,8620.98
2026-02-01,8755.26
2026-03-01,8935.48
2026-04-01,9292.93
