"fecha","valor"
2015-10-01,75.24
2015-11-01,76.28
2015-12-01,77.18
2016-01-01,77.46
2016-02-01,78.36
2016-03-01,83.8
2016-04-01,84.26
2016-05-01,87.11
2016-06-01,89.28
2016-07-01,94.66
2016-08-01,98.73
2016-09-01,99.46
2016-10-01,100
2016-11-01,101.22
2016-12-01,102.37
2017-01-01,102.68
2017-02-01,103.08
2017-03-01,107.24
2017-04-01,110.81
2017-05-01,112.28
2017-06-01,115.3
2017-07-01,118.49
2017-08-01,121.54
2017-09-01,123.89
2017-10-01,126.03
2017-11-01,127.32
2017-12-01,127.94
2018-01-01,128.45
2018-02-01,129.32
2018-03-01,132.97
2018-04-01,135.01
2018-05-01,137.16
2018-06-01,138.97
2018-07-01,143.01
2018-08-01,147.26
2018-09-01,152.41
2018-10-01,159.53
2018-11-01,162.69
2018-12-01,166.66
2019-01-01,170.98
2019-02-01,175.37
2019-03-01,184.99
2019-04-01,188.65
2019-05-01,193.23
2019-06-01,197.23
2019-07-01,209.52
2019-08-01,213.21
2019-09-01,220.8
2019-10-01,227.45
2019-11-01,231.39
2019-12-01,238.13
2020-01-01,244.59
2020-02-01,251.57
2020-03-01,262.08
2020-04-01,263.54
2020-05-01,264.92
2020-06-01,267.19
2020-07-01,270.14
2020-08-01,272.2
2020-09-01,280.93
2020-10-01,289.72
2020-11-01,294.87
2020-12-01,301.97
2021-01-01,309.32
2021-02-01,321.14
2021-03-01,345.37
2021-04-01,350.74
2021-05-01,360.83
2021-06-01,375.32
2021-07-01,397.93
2021-08-01,410.82
2021-09-01,438.07
2021-10-01,454.12
2021-11-01,466.54
2021-12-01,479.05
2022-01-01,493.03
2022-02-01,504.7
2022-03-01,565.82
2022-04-01,580.87
2022-05-01,619.44
2022-06-01,647.9
2022-07-01,695.34
2022-08-01,724.84
2022-09-01,780.81
2022-10-01,827.5
2022-11-01,874.76
2022-12-01,955.04
2023-01-01,992.3
2023-02-01,1030.47
2023-03-01,1198.55
2023-04-01,1247.39
2023-05-01,1353.08
2023-06-01,1434.49
2023-07-01,1625.51
2023-08-01,1723.25
2023-09-01,1911.97
2023-10-01,2086.82
2023-11-01,2250.34
2023-12-01,2374.02
2024-01-01,2660.85
2024-02-01,3062.83
2024-03-01,3400.49
2024-04-01,3656.07
2024-05-01,3957.89
2024-06-01,4113.99
2024-07-01,4390.43
2024-08-01,4594.73
2024-09-01,4774.83
2024-10-01,4982.02
2024-11-01,5117.7
2024-12-01,5205.72
2025-01-01,5253.88
2025-02-01,5488.58
2025-03-01,5668.51
2025-04-01,5797.13
2025-05-01,5987.03
2025-06-01,6063.83
2025-07-01,6202.12
2025-08-01,6375.31
2025-09-01,6447.94
2025-10-01,6569.76
2025-11-01,6645.32
2025-12-01,6710.79
2026-01-01,6832.27
2026-02-01,6991.42
2026-03-01,7344.33
2026-04-01,7515.45
