"fecha","valor"
1995-01-01,546.48
1995-02-01,526.2
1995-03-01,537.8
1995-04-01,516.13
1995-05-01,531.14
1995-06-01,787.69
1995-07-01,534.46
1995-08-01,536.89
1995-09-01,530.06
1995-10-01,535.5
1995-11-01,533.8
1995-12-01,793.31
1996-01-01,539.28
1996-02-01,523.98
1996-03-01,517.19
1996-04-01,517.91
1996-05-01,527.29
1996-06-01,753.14
1996-07-01,519.41
1996-08-01,518.16
1996-09-01,511.09
1996-10-01,522.57
1996-11-01,505.9
1996-12-01,747.05
1997-01-01,516.38
1997-02-01,503.96
1997-03-01,506.16
1997-04-01,505.17
1997-05-01,511.67
1997-06-01,735.84
1997-07-01,510.8
1997-08-01,503.2
1997-09-01,510
1997-10-01,512.92
1997-11-01,500
1997-12-01,741.15
1998-01-01,510.4
1998-02-01,501
1998-03-01,504.5
1998-04-01,505.57
1998-05-01,505.34
1998-06-01,738.84
1998-07-01,509.45
1998-08-01,504.35
1998-09-01,505.78
1998-10-01,507.45
1998-11-01,500
1998-12-01,743.81
1999-01-01,508.19
1999-02-01,500.61
1999-03-01,506.49
1999-04-01,504.04
1999-05-01,505
1999-06-01,736.24
1999-07-01,506.01
1999-08-01,504.1
1999-09-01,505.24
1999-10-01,503.95
1999-11-01,503.26
1999-12-01,744.61
2000-01-01,514.15
2000-02-01,506.09
2000-03-01,508.73
2000-04-01,502.75
2000-05-01,510.25
2000-06-01,739.29
2000-07-01,505.83
2000-08-01,506.48
2000-09-01,503
2000-10-01,503.33
2000-11-01,498.96
2000-12-01,730
2001-01-01,510.4
2001-02-01,501
2001-03-01,500.5
2001-04-01,502.67
2001-05-01,505.5
2001-06-01,723.36
2001-07-01,500
2001-08-01,500
2001-09-01,497.08
2001-10-01,500
2001-11-01,499.66
2001-12-01,727.27
2002-01-01,510.21
2002-02-01,501.25
2002-03-01,500.99
2002-04-01,504
2002-05-01,506.92
2002-06-01,727.2
2002-07-01,544.17
2002-08-01,545.81
2002-09-01,544.92
2002-10-01,561.81
2002-11-01,554.8
2002-12-01,789.59
2003-01-01,593.45
2003-02-01,584.99
2003-03-01,599.13
2003-04-01,599.71
2003-05-01,633.56
2003-06-01,855
2003-07-01,649.84
2003-08-01,651.88
2003-09-01,666.79
2003-10-01,683.4
2003-11-01,681.51
2003-12-01,1002
2004-01-01,751.46
2004-02-01,760.3
2004-03-01,773.49
2004-04-01,771.52
2004-05-01,767.45
2004-06-01,1099.9
2004-07-01,767.06
2004-08-01,767.94
2004-09-01,768.95
2004-10-01,767.72
2004-11-01,770.32
2004-12-01,1128.97
2005-01-01,854.71
2005-02-01,839.53
2005-03-01,856.4
2005-04-01,883.94
2005-05-01,889.75
2005-06-01,1247.53
2005-07-01,943.46
2005-08-01,992.16
2005-09-01,1011.81
2005-10-01,1022.78
2005-11-01,1027.88
2005-12-01,1532.09
2006-01-01,1075.05
2006-02-01,1050.4
2006-03-01,1077.3
2006-04-01,1095.75
2006-05-01,1144.6
2006-06-01,1659.76
2006-07-01,1176.48
2006-08-01,1215.85
2006-09-01,1226.04
2006-10-01,1229.91
2006-11-01,1233.49
2006-12-01,1823.12
2007-01-01,1297.16
2007-02-01,1267.39
2007-03-01,1295.7
2007-04-01,1310.52
2007-05-01,1366.35
2007-06-01,2009
2007-07-01,1438.03
2007-08-01,1457.32
2007-09-01,1474.7
2007-10-01,1526.27
2007-11-01,1527.89
2007-12-01,2281.63
2008-01-01,1633.74
2008-02-01,1643.41
2008-03-01,1648.96
2008-04-01,1733.32
2008-05-01,1800.92
2008-06-01,2576.14
2008-07-01,1891.03
2008-08-01,1914.68
2008-09-01,1986.73
2008-10-01,2003.02
2008-11-01,1972
2008-12-01,2967.48
2009-01-01,2050
2009-02-01,2014.08
2009-03-01,2025.53
2009-04-01,2157.8
2009-05-01,2223.66
2009-06-01,3263.85
2009-07-01,2277.19
2009-08-01,2286.15
2009-09-01,2322
2009-10-01,2334.71
2009-11-01,2321.91
2009-12-01,3501.62
2010-01-01,2481.36
2010-02-01,2474.04
2010-03-01,2534.38
2010-04-01,2557.3
2010-05-01,2635.36
2010-06-01,4200
2010-07-01,2897.92
2010-08-01,2943.55
2010-09-01,3064.54
2010-10-01,3086.84
2010-11-01,3123.44
2010-12-01,4766.23
2011-01-01,3330.81
2011-02-01,3281.56
2011-03-01,3418.64
2011-04-01,3427.54
2011-05-01,3601.48
2011-06-01,5527.12
2011-07-01,3913.73
2011-08-01,3972.79
2011-09-01,4176.76
2011-10-01,4189.98
2011-11-01,4259.99
2011-12-01,6480.21
2012-01-01,4513.45
2012-02-01,4483.49
2012-03-01,4540.95
2012-04-01,4682.46
2012-05-01,5049.43
2012-06-01,7396.13
2012-07-01,5301.21
2012-08-01,5341.93
2012-09-01,5358.82
2012-10-01,5425.52
2012-11-01,5694.83
2012-12-01,8454.58
2013-01-01,5890.8
2013-02-01,5818.99
2013-03-01,5869.75
2013-04-01,5983
2013-05-01,6500
2013-06-01,9360.43
2013-07-01,6728.92
2013-08-01,6767.94
2013-09-01,6810.9
2013-10-01,6899.5
2013-11-01,7154.93
2013-12-01,10668.4
2014-01-01,7411
2014-02-01,7380.13
2014-03-01,7579.12
2014-04-01,8219.33
2014-05-01,8486.74
2014-06-01,12175.5
2014-07-01,9156.57
2014-08-01,8914.36
2014-09-01,9301.8
2014-10-01,9528.8
2014-11-01,9664.3
2014-12-01,14302.11
2015-01-01,9826.7
2015-02-01,9808.24
2015-03-01,9889.76
2015-04-01,10051.69
2015-05-01,10884.99
2015-06-01,16196.68
2015-07-01,11955.24
2015-08-01,11565.12
2015-09-01,12237.17
2015-10-01,11810.7
2015-11-01,12307.97
2015-12-01,18553.23
2016-01-01,12687.98
2016-02-01,12877.37
2016-03-01,13233.78
2016-04-01,14231.13
2016-05-01,14824
2016-06-01,21632.065
2016-07-01,15302.69
2016-08-01,15460.705
2016-09-01,15483.91
2016-10-01,16239.88
2016-11-01,16565.86
2016-12-01,24811.37
2017-01-01,17632
2017-02-01,17391.31
2017-03-01,17628.12
2017-04-01,18425.48
2017-05-01,18878.45
2017-06-01,27812.88
2017-07-01,20405.15
2017-08-01,20509.6
2017-09-01,20557.35
2017-10-01,20945.31
2017-11-01,20991.61
2017-12-01,31028.67
2018-01-01,21865
2018-02-01,21737.86
2018-03-01,22049.94
2018-04-01,23121.05
2018-05-01,23687.66
2018-06-01,34649.31
2018-07-01,24398.67
2018-08-01,25315.59
2018-09-01,25397.625
2018-10-01,26980.88
2018-11-01,28601.71
2018-12-01,41098.505
2019-01-01,30357.74
2019-02-01,29558.08
2019-03-01,31011.74
2019-04-01,31686.865
2019-05-01,33383
2019-06-01,48913.31
2019-07-01,35454.11
2019-08-01,36145
2019-09-01,37476.24
2019-10-01,39623.51
2019-11-01,39828.43
2019-12-01,59149.26
2020-01-01,44309.725
2020-02-01,45298.01
2020-03-01,46338.19
2020-04-01,44895.56
2020-05-01,45638.425
2020-06-01,68707.235
2020-07-01,47636.79
2020-08-01,48338.92
2020-09-01,49478.015
2020-10-01,53377.2
2020-11-01,53874.06
2020-12-01,80166.67
2021-01-01,57813.05
2021-02-01,60346.76
2021-03-01,62883.425
2021-04-01,65156.48
2021-05-01,68128.2
2021-06-01,99971.26
2021-07-01,72268
2021-08-01,75189.1
2021-09-01,77319.7
2021-10-01,79281.93
2021-11-01,83262.31
2021-12-01,121726.16
2022-01-01,89498.69
2022-02-01,91635.01
2022-03-01,98681.94
2022-04-01,103832.32
2022-05-01,111655.37
2022-06-01,165158.01
2022-07-01,119847.76
2022-08-01,132656.83
2022-09-01,141428.1
2022-10-01,144779.58
2022-11-01,155238.02
2022-12-01,245866.42
2023-01-01,171129.625
2023-02-01,180620.075
2023-03-01,198161.45
2023-04-01,218966.54
2023-05-01,238171.285
2023-06-01,356955.27
2023-07-01,270081.59
2023-08-01,312312.66
2023-09-01,342176.65
2023-10-01,365339.03
2023-11-01,404394.81
2023-12-01,647022.48
2024-01-01,547920.4
2024-02-01,618024.2
2024-03-01,681345.43
2024-04-01,786197.45
2024-05-01,826587.81
2024-06-01,1258840.14
2024-07-01,934748
2024-08-01,969111.23
2024-09-01,1e+06
2024-10-01,1063668.82
2024-11-01,1077032.6
2024-12-01,1640493.32
2025-01-01,1160615.17
2025-02-01,1159755.49
2025-03-01,1202429.89
2025-04-01,1231190.59
2025-05-01,1252643.49
2025-06-01,1871281.36
2025-07-01,1317518.58
2025-08-01,1344440.59
2025-09-01,1355602.14
2025-10-01,1391747.46
2025-11-01,1393622.02
2025-12-01,2145000
2026-01-01,1504021.34
2026-02-01,1510851.5
2026-03-01,1537634.48
2026-04-01,1602236.89
2026-05-01,1606772.98300058
