"fecha","valor"
1995-01-01,885.22
1995-02-01,826.49
1995-03-01,825.71
1995-04-01,785.44
1995-05-01,799.84
1995-06-01,1206.21
1995-07-01,810.2
1995-08-01,805.71
1995-09-01,807.08
1995-10-01,809.13
1995-11-01,813.97
1995-12-01,1254.79
1996-01-01,864.39
1996-02-01,816.04
1996-03-01,807.94
1996-04-01,797.32
1996-05-01,805.12
1996-06-01,1173.06
1996-07-01,801.17
1996-08-01,802.38
1996-09-01,803.74
1996-10-01,807.01
1996-11-01,799.97
1996-12-01,1206.57
1997-01-01,850.79
1997-02-01,803.39
1997-03-01,801.45
1997-04-01,792.93
1997-05-01,798.7
1997-06-01,1168.7
1997-07-01,797.83
1997-08-01,790.96
1997-09-01,801.38
1997-10-01,815.65
1997-11-01,792.57
1997-12-01,1206.03
1998-01-01,854.06
1998-02-01,810.32
1998-03-01,817.08
1998-04-01,807.27
1998-05-01,799.62
1998-06-01,1182.23
1998-07-01,805.11
1998-08-01,801.95
1998-09-01,802.73
1998-10-01,817.63
1998-11-01,801.99
1998-12-01,1224.79
1999-01-01,857.37
1999-02-01,821.08
1999-03-01,826.2
1999-04-01,814.42
1999-05-01,804
1999-06-01,1189.4
1999-07-01,806.62
1999-08-01,806.68
1999-09-01,809.59
1999-10-01,814.85
1999-11-01,809.29
1999-12-01,1225.38
2000-01-01,870.85
2000-02-01,833.5
2000-03-01,839.65
2000-04-01,828.26
2000-05-01,813.42
2000-06-01,1192.52
2000-07-01,812.29
2000-08-01,815.24
2000-09-01,813.33
2000-10-01,818.51
2000-11-01,802.66
2000-12-01,1210.71
2001-01-01,872.13
2001-02-01,834.76
2001-03-01,843.71
2001-04-01,821.64
2001-05-01,818.16
2001-06-01,1181.61
2001-07-01,802.91
2001-08-01,809.21
2001-09-01,800.27
2001-10-01,809.34
2001-11-01,804.6
2001-12-01,1200.61
2002-01-01,855.9
2002-02-01,852.26
2002-03-01,839.09
2002-04-01,836.76
2002-05-01,840.09
2002-06-01,1204.94
2002-07-01,869.14
2002-08-01,867.47
2002-09-01,868.73
2002-10-01,902.16
2002-11-01,885.77
2002-12-01,1316.54
2003-01-01,979.81
2003-02-01,947.12
2003-03-01,961.15
2003-04-01,947.83
2003-05-01,947.96
2003-06-01,1338.85
2003-07-01,967.54
2003-08-01,970.19
2003-09-01,985.84
2003-10-01,1018.61
2003-11-01,1012.95
2003-12-01,1521.15
2004-01-01,1145.96
2004-02-01,1131.09
2004-03-01,1161.59
2004-04-01,1131.9
2004-05-01,1107.73
2004-06-01,1593.52
2004-07-01,1105.03
2004-08-01,1106.81
2004-09-01,1109.56
2004-10-01,1125.36
2004-11-01,1115.9
2004-12-01,1676.47
2005-01-01,1277.73
2005-02-01,1214.67
2005-03-01,1270.18
2005-04-01,1263.4
2005-05-01,1252.74
2005-06-01,1793.65
2005-07-01,1285.13
2005-08-01,1315.89
2005-09-01,1364.53
2005-10-01,1370.78
2005-11-01,1402.53
2005-12-01,2090.09
2006-01-01,1548.05
2006-02-01,1483.14
2006-03-01,1544.75
2006-04-01,1527.46
2006-05-01,1551.59
2006-06-01,2237.93
2006-07-01,1589.75
2006-08-01,1624.65
2006-09-01,1648.89
2006-10-01,1654.53
2006-11-01,1656.15
2006-12-01,2477.02
2007-01-01,1844.19
2007-02-01,1761.72
2007-03-01,1851.55
2007-04-01,1827.84
2007-05-01,1852.81
2007-06-01,2678.83
2007-07-01,1924.27
2007-08-01,1974.06
2007-09-01,1991.86
2007-10-01,2045.38
2007-11-01,2046.06
2007-12-01,3074.12
2008-01-01,2299.14
2008-02-01,2241.38
2008-03-01,2308.81
2008-04-01,2379.11
2008-05-01,2412.15
2008-06-01,3457.79
2008-07-01,2530.74
2008-08-01,2557.91
2008-09-01,2640.95
2008-10-01,2683.88
2008-11-01,2641.97
2008-12-01,3995.29
2009-01-01,2907.11
2009-02-01,2791.44
2009-03-01,2869.86
2009-04-01,2885.72
2009-05-01,2886.88
2009-06-01,4245.81
2009-07-01,2991.46
2009-08-01,3026.88
2009-09-01,3112.32
2009-10-01,3135.62
2009-11-01,3110.03
2009-12-01,4723.81
2010-01-01,3468.61
2010-02-01,3376.54
2010-03-01,3578.79
2010-04-01,3546.73
2010-05-01,3575.29
2010-06-01,5323
2010-07-01,3796.59
2010-08-01,3875.35
2010-09-01,4013.63
2010-10-01,4055.92
2010-11-01,4099.69
2010-12-01,6166.26
2011-01-01,4608.69
2011-02-01,4365.13
2011-03-01,4757.17
2011-04-01,4633.46
2011-05-01,4862.15
2011-06-01,7042.69
2011-07-01,5019.54
2011-08-01,5114.96
2011-09-01,5277.16
2011-10-01,5332.89
2011-11-01,5402.56
2011-12-01,8130.47
2012-01-01,6028.03
2012-02-01,5824.77
2012-03-01,6145.19
2012-04-01,6087.02
2012-05-01,6278.22
2012-06-01,9107.16
2012-07-01,6612.18
2012-08-01,6609.57
2012-09-01,6695.82
2012-10-01,6858.57
2012-11-01,7006.19
2012-12-01,10426.35
2013-01-01,7722.74
2013-02-01,7426.73
2013-03-01,7840.12
2013-04-01,7730.75
2013-05-01,8037.64
2013-06-01,11545.88
2013-07-01,8365.09
2013-08-01,8291.44
2013-09-01,8459.22
2013-10-01,8638.46
2013-11-01,8786.8
2013-12-01,13174.71
2014-01-01,9713.2
2014-02-01,9428.09
2014-03-01,10097.4
2014-04-01,10327.23
2014-05-01,10398.99
2014-06-01,15007.04
2014-07-01,11094.08
2014-08-01,11002.19
2014-09-01,11382.62
2014-10-01,11734.64
2014-11-01,11850.1
2014-12-01,17751.6
2015-01-01,13089.84
2015-02-01,12694.8
2015-03-01,13338.17
2015-04-01,13093.16
2015-05-01,13454.92
2015-06-01,20156.66
2015-07-01,14583.64
2015-08-01,14434.43
2015-09-01,14957.68
2015-10-01,15013.59
2015-11-01,15303.76
2015-12-01,23203.6
2016-01-01,16866.1045788261
2016-02-01,16779.2603814253
2016-03-01,17576.2936972755
2016-04-01,17798.7813043871
2016-05-01,18128.7041280747
2016-06-01,26326.3154033417
2016-07-01,19147.2234279195
2016-08-01,19304.5498928571
2016-09-01,19538.6578233039
2016-10-01,20209.0472180034
2016-11-01,20679.6363315883
2016-12-01,31181.9208812284
