"fecha","valor"
1971-01-01,170
1971-02-01,170
1971-03-01,170
1971-04-01,170
1971-05-01,250
1971-06-01,250
1971-07-01,250
1971-08-01,250
1971-09-01,250
1971-10-01,288
1971-11-01,288
1971-12-01,288
1972-01-01,288
1972-02-01,288
1972-03-01,288
1972-04-01,288
1972-05-01,288
1972-06-01,288
1972-07-01,330
1972-08-01,330
1972-09-01,330
1972-10-01,370
1972-11-01,370
1972-12-01,370
1973-01-01,462
1973-02-01,462
1973-03-01,462
1973-04-01,462
1973-05-01,462
1973-06-01,615
1973-07-01,615
1973-08-01,615
1973-09-01,615
1973-10-01,615
1973-11-01,615
1973-12-01,615
1974-01-01,800
1974-02-01,800
1974-03-01,800
1974-04-01,800
1974-05-01,800
1974-06-01,1000
1974-07-01,1000
1974-08-01,1000
1974-09-01,1000
1974-10-01,1000
1974-11-01,1000
1974-12-01,1000
1975-01-01,1300
1975-02-01,1300
1975-03-01,1630
1975-04-01,1630
1975-05-01,1630
1975-06-01,4238
1975-07-01,4238
1975-08-01,4238
1975-09-01,4238
1975-10-01,4238
1975-11-01,4660
1975-12-01,4660
1976-01-01,6480
1976-02-01,6480
1976-03-01,8060
1976-04-01,8060
1976-05-01,8060
1976-06-01,10000
1976-07-01,10000
1976-08-01,10000
1976-09-01,11200
1976-10-01,11200
1976-11-01,12880
1976-12-01,12880
1977-01-01,15456
1977-02-01,15456
1977-03-01,18240
1977-04-01,18240
1977-05-01,21240
1977-06-01,21240
1977-07-01,26600
1977-08-01,26600
1977-09-01,30000
1977-10-01,30000
1977-11-01,30000
1977-12-01,30000
1978-01-01,48600
1978-02-01,48600
1978-03-01,48600
1978-04-01,56000
1978-05-01,56000
1978-06-01,80000
1978-07-01,80000
1978-08-01,80000
1978-09-01,1e+05
1978-10-01,1e+05
1978-11-01,1e+05
1978-12-01,140000
1979-01-01,140000
1979-02-01,140000
1979-03-01,175000
1979-04-01,175000
1979-05-01,175000
1979-06-01,175000
1979-07-01,175000
1979-08-01,218750
1979-09-01,218750
1979-10-01,218750
1979-11-01,218750
1979-12-01,3e+05
1980-01-01,3e+05
1980-02-01,3e+05
1980-03-01,3e+05
1980-04-01,372000
1980-05-01,372000
1980-06-01,372000
1980-07-01,446400
1980-08-01,446400
1980-09-01,446400
1980-10-01,517830
1980-11-01,517830
1980-12-01,517830
1981-01-01,621400
1981-02-01,621400
1981-03-01,621400
1981-04-01,720830
1981-05-01,720830
1981-06-01,720830
1981-07-01,1e+06
1981-08-01,1e+06
1981-09-01,1e+06
1981-10-01,1150000
1981-11-01,1150000
1981-12-01,1150000
1982-01-01,1150000
1982-02-01,1150000
1982-03-01,1150000
1982-04-01,1500000
1982-05-01,1500000
1982-06-01,1500000
1982-07-01,1850000
1982-08-01,1850000
1982-09-01,2500000
1982-10-01,2800000
1982-11-01,3276000
1982-12-01,4e+06
1983-01-01,4560000
1983-02-01,5100000
1983-03-01,6e+06
1983-04-01,7e+06
1983-05-01,7840000
1983-06-01,880
1983-07-01,880
1983-08-01,1040
1983-09-01,1400
1983-10-01,1680
1983-11-01,2000
1983-12-01,2380
1984-01-01,2761
1984-02-01,3037
1984-03-01,3341
1984-04-01,4260
1984-05-01,4644
1984-06-01,5387
1984-07-01,6626
1984-08-01,7952
1984-09-01,9630
1984-10-01,12134
1984-11-01,14075
1984-12-01,16328
1985-01-01,19594
1985-02-01,23513
1985-03-01,28216
1985-04-01,36116
1985-05-01,46770
1985-06-01,58510
1985-07-01,58.51
1985-08-01,58.51
1985-09-01,58.51
1985-10-01,67
1985-11-01,67
1985-12-01,67
1986-01-01,70
1986-02-01,70
1986-03-01,70
1986-04-01,80
1986-05-01,80
1986-06-01,95
1986-07-01,95
1986-08-01,95
1986-09-01,105
1986-10-01,105
1986-11-01,115
1986-12-01,115
1987-01-01,126
1987-02-01,126
1987-03-01,132
1987-04-01,132
1987-05-01,140
1987-06-01,140
1987-07-01,140
1987-08-01,150
1987-09-01,165
1987-10-01,185
1987-11-01,185
1987-12-01,185
1988-01-01,185
1988-02-01,260
1988-03-01,300
1988-04-01,400
1988-05-01,400
1988-06-01,700
1988-07-01,820
1988-08-01,940
1988-09-01,1185
1988-10-01,1305
1988-11-01,1305
1988-12-01,1470
1989-01-01,1470
1989-02-01,1700
1989-03-01,1700
1989-04-01,2585
1989-05-01,3232
1989-06-01,7200
1989-07-01,16400
1989-08-01,28000
1989-09-01,28000
1989-10-01,40000
1989-11-01,40000
1989-12-01,64000
1990-01-01,104600
1990-02-01,130000
1990-03-01,200200
1990-04-01,400400
1990-05-01,470470
1990-06-01,530000
1990-07-01,530000
1990-08-01,620000
1990-09-01,670000
1990-10-01,750000
1990-11-01,8e+05
1990-12-01,8e+05
1991-01-01,8e+05
1991-02-01,1e+06
1991-03-01,1200000
1991-04-01,1200000
1991-05-01,1200000
1991-06-01,1200000
1991-07-01,1200000
1991-08-01,1500000
1991-09-01,1500000
1991-10-01,1500000
1991-11-01,1500000
1991-12-01,1500000
1992-01-01,150
1992-02-01,150
1992-03-01,150
1992-04-01,150
1992-05-01,150
1992-06-01,150
1992-07-01,150
1992-08-01,150
1992-09-01,150
1992-10-01,150
1992-11-01,150
1992-12-01,150
1993-01-01,150
1993-02-01,150
1993-03-01,150
1993-04-01,150
1993-05-01,150
1993-06-01,150
1993-07-01,150
1993-08-01,150
1993-09-01,150
1993-10-01,150
1993-11-01,150
1993-12-01,150
1994-01-01,150
1994-02-01,150
1994-03-01,150
1994-04-01,150
1994-05-01,150
1994-06-01,150
1994-07-01,150
1994-08-01,150
1994-09-01,150
1994-10-01,150
1994-11-01,150
1994-12-01,150
1995-01-01,150
1995-02-01,150
1995-03-01,150
1995-04-01,150
1995-05-01,150
1995-06-01,150
1995-07-01,150
1995-08-01,150
1995-09-01,150
1995-10-01,150
1995-11-01,150
1995-12-01,150
