periodo;v_m_sector_privado_registrado;v_i_a_sector_privado_registrado;v_acum_sector_privado_registrado;v_m_sector_publico;v_i_a_sector_publico;v_acum_sector_publico;v_m_total_registrado;v_i_a_total_registrado;v_acum_total_registrado;v_m_sector_privado_no_registrado;v_i_a_sector_privado_no_registrado;v_acum_sector_privado_no_registrado;v_m_indice_total;v_i_a_indice_total;v_acum_indice_total;v_m_subsector_publico_nacional;v_i_a_subsector_publico_nacional;v_acum_subsector_publico_nacional;v_m_subsector_publico_provincial;v_i_a_subsector_publico_provincial;v_acum_subsector_publico_provincial
1/10/2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/11/2015;2,68;NA;NA;1,37;NA;NA;2,19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/12/2015;1,86;NA;NA;1,18;NA;NA;1,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/1/2016;2,02;NA;2,02;0,36;NA;0,36;1,41;NA;1,41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/2/2016;1,41;NA;3,47;1,16;NA;1,53;1,32;NA;2,74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/3/2016;0,94;NA;4,44;6,93;NA;8,58;3,15;NA;5,99;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/4/2016;6,33;NA;11,06;0,55;NA;9,18;4,12;NA;10,36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/5/2016;3,29;NA;14,72;3,37;NA;12,86;3,32;NA;14,03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/6/2016;1,58;NA;16,53;2,49;NA;15,68;1,92;NA;16,22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/7/2016;3,54;NA;20,67;6,03;NA;22,66;4,47;NA;21,41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/8/2016;1,82;NA;22,86;4,29;NA;27,92;2,75;NA;24,74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/9/2016;1,66;NA;24,91;0,74;NA;28,87;1,31;NA;26,39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/10/2016;3,49;35,19;29,26;0,54;32,9;29,57;2,37;34,33;29,38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/11/2016;1,8;34,04;31,59;1,22;32,7;31,14;1,58;33,54;31,43;0,73;NA;NA;1,41;NA;NA;NA;NA;NA;NA;NA;NA
1/12/2016;1,06;32,99;32,99;1,14;32,64;32,64;1,09;32,86;32,86;2,45;NA;NA;1,36;NA;NA;NA;NA;NA;NA;NA;NA
1/1/2017;3,36;34,74;3,36;0,3;32,56;0,3;2,22;33,94;2,22;-1,16;NA;-1,16;1,54;NA;1,54;NA;NA;NA;NA;NA;NA
