"fecha","ripte_priv","ist_nom_priv","ist_nom_pub","haber_minimo","sipa_prom_priv","sipa_med_priv"
1971-01-01,NA,NA,NA,170,NA,NA
1971-02-01,NA,NA,NA,170,NA,NA
1971-03-01,NA,NA,NA,170,NA,NA
1971-04-01,NA,NA,NA,170,NA,NA
1971-05-01,NA,NA,NA,250,NA,NA
1971-06-01,NA,NA,NA,250,NA,NA
1971-07-01,NA,NA,NA,250,NA,NA
1971-08-01,NA,NA,NA,250,NA,NA
1971-09-01,NA,NA,NA,250,NA,NA
1971-10-01,NA,NA,NA,288,NA,NA
1971-11-01,NA,NA,NA,288,NA,NA
1971-12-01,NA,NA,NA,288,NA,NA
1972-01-01,NA,NA,NA,288,NA,NA
1972-02-01,NA,NA,NA,288,NA,NA
1972-03-01,NA,NA,NA,288,NA,NA
1972-04-01,NA,NA,NA,288,NA,NA
1972-05-01,NA,NA,NA,288,NA,NA
1972-06-01,NA,NA,NA,288,NA,NA
1972-07-01,NA,NA,NA,330,NA,NA
1972-08-01,NA,NA,NA,330,NA,NA
1972-09-01,NA,NA,NA,330,NA,NA
1972-10-01,NA,NA,NA,370,NA,NA
1972-11-01,NA,NA,NA,370,NA,NA
1972-12-01,NA,NA,NA,370,NA,NA
1973-01-01,NA,NA,NA,462,NA,NA
1973-02-01,NA,NA,NA,462,NA,NA
1973-03-01,NA,NA,NA,462,NA,NA
1973-04-01,NA,NA,NA,462,NA,NA
1973-05-01,NA,NA,NA,462,NA,NA
1973-06-01,NA,NA,NA,615,NA,NA
1973-07-01,NA,NA,NA,615,NA,NA
1973-08-01,NA,NA,NA,615,NA,NA
1973-09-01,NA,NA,NA,615,NA,NA
1973-10-01,NA,NA,NA,615,NA,NA
1973-11-01,NA,NA,NA,615,NA,NA
1973-12-01,NA,NA,NA,615,NA,NA
1974-01-01,NA,NA,NA,800,NA,NA
1974-02-01,NA,NA,NA,800,NA,NA
1974-03-01,NA,NA,NA,800,NA,NA
1974-04-01,NA,NA,NA,800,NA,NA
1974-05-01,NA,NA,NA,800,NA,NA
1974-06-01,NA,NA,NA,1000,NA,NA
1974-07-01,NA,NA,NA,1000,NA,NA
1974-08-01,NA,NA,NA,1000,NA,NA
1974-09-01,NA,NA,NA,1000,NA,NA
1974-10-01,NA,NA,NA,1000,NA,NA
1974-11-01,NA,NA,NA,1000,NA,NA
1974-12-01,NA,NA,NA,1000,NA,NA
1975-01-01,NA,NA,NA,1300,NA,NA
1975-02-01,NA,NA,NA,1300,NA,NA
1975-03-01,NA,NA,NA,1630,NA,NA
1975-04-01,NA,NA,NA,1630,NA,NA
1975-05-01,NA,NA,NA,1630,NA,NA
1975-06-01,NA,NA,NA,4238,NA,NA
1975-07-01,NA,NA,NA,4238,NA,NA
1975-08-01,NA,NA,NA,4238,NA,NA
1975-09-01,NA,NA,NA,4238,NA,NA
1975-10-01,NA,NA,NA,4238,NA,NA
1975-11-01,NA,NA,NA,4660,NA,NA
1975-12-01,NA,NA,NA,4660,NA,NA
1976-01-01,NA,NA,NA,6480,NA,NA
1976-02-01,NA,NA,NA,6480,NA,NA
1976-03-01,NA,NA,NA,8060,NA,NA
1976-04-01,NA,NA,NA,8060,NA,NA
1976-05-01,NA,NA,NA,8060,NA,NA
