"mes","bono"
"2022-09",7000
"2022-10",7000
"2022-11",7000
"2022-12",10000
"2023-01",10000
"2023-02",10000
"2023-03",15000
"2023-04",15000
"2023-05",15000
"2023-06",15000
"2023-07",17000
"2023-08",20000
"2023-09",37000
"2023-10",37000
"2023-11",37000
"2023-12",55000
"2024-01",55000
"2024-02",55000
"2024-03",70000
"2024-04",70000
"2024-05",70000
"2024-06",70000
"2024-07",70000
"2024-08",70000
"2024-09",70000
"2024-10",70000
"2024-11",70000
"2024-12",70000
"2025-01",70000
"2025-02",70000
"2025-03",70000
"2025-04",70000
"2025-05",70000
"2025-06",70000
"2025-07",70000
"2025-08",70000
"2025-09",70000
"2025-10",70000
"2025-11",70000
"2025-12",70000
"2026-01",70000
"2026-02",70000
"2026-03",70000
"2026-04",70000
"2026-05",70000
"2026-06",70000
