IPCBA (base 2021 = 100) según principales aperturas. Índice mensual. Ciudad de Buenos Aires. Febrero de 2022 / julio de 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apertura,Índice ¹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,01/01/2023,02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,01/01/2024,02/01/2024,03/01/2024,04/01/2024,05/01/2024,06/01/2024,07/01/2024,08/01/2024,09/01/2024,10/01/2024,11/01/2024,12/01/2024,01/01/2025,02/01/2025,03/01/2025,04/01/2025,05/01/2025,06/01/2025,07/01/2025,08/01/2025,09/01/2025,10/01/2025,11/01/2025,12/01/2025,01/01/2026,02/01/2026,03/01/2026,04/01/2026,05/01/2026,06/01/2026,07/01/2026
Nivel General,128.59,136.12,143.28,151.18,158.92,171.1,181.72,191.95,205.31,217.2,229.69,246.41,261.19,279.75,301.46,324.2,347.38,372.82,413.08,462.47,505.82,565.99,685.4,834.2,951.99,1077.95,1183.17,1234.95,1294.53,1360.55,1417.46,1474.29,1522.05,1570.26,1622.53,1673.49,1707.89,1761.98,1802.79,1831.11,1870.43,1916.97,1947.42,1990.42,2033.44,2082.5,2137.99,2203.37,2260.6,2328.35,2386.16,2436.43,2480.63,2553.4
Alimentos y bebidas no alcohólicas,132.39,139.95,148.57,155.91,164.46,177.07,189.56,202.96,217.09,226.29,236.84,251.38,270.64,295.31,326.09,347.65,367.66,388.18,436.53,498.14,542.75,619.9,808.44,1013.41,1161.94,1290.14,1356.48,1421.06,1459.9,1514.8,1562.1,1596.88,1624.04,1651.79,1690.39,1723.28,1767.15,1850.3,1890.89,1912.67,1942.41,1977.8,1997.52,2038.17,2080.1,2126.41,2177.69,2264.02,2328.9,2388.77,2421.67,2490.13,2528.99,2576.91
Alimentos,132.76,140.46,149.35,156.61,165.04,177.54,190.09,203.21,217.22,225.95,235.85,250.89,271.16,297.24,329.79,351.24,370.65,390.56,440.63,503.58,547.72,624.5,810.85,1005.6,1147,1277.44,1350.04,1417.93,1457.09,1513.52,1562.08,1596.92,1617.92,1640.59,1677.52,1710.8,1755.71,1846.82,1887.45,1907.26,1936.68,1972.5,1993.67,2035.66,2076.7,2122.3,2175.64,2266.19,2332.26,2393.3,2422.98,2493.21,2532.29,2583.55
Pan y cereales,129.65,141.44,153.67,161.95,172,184.65,197.77,208.84,222.35,236.12,247.98,258.21,272.94,290.22,314.78,346.69,376.45,404.05,446.11,501.54,555.38,646.05,852.58,1090.5,1269.52,1380.9,1429.52,1479.84,1527.52,1576.78,1641.73,1682.53,1710.63,1747,1775.71,1790.92,1808.93,1838.52,1872.97,1912.27,1958.14,1989.35,2033.55,2078.46,2134.66,2178.07,2220.84,2265.29,2308.1,2353.6,2401.06,2464.03,2512.59,2552.05
Carnes y derivados,132.13,140.74,151.19,163.08,169.22,176.85,183.98,192.84,202.3,206.87,210.8,221.12,254.63,286.71,319.72,326.27,334.9,345.53,411.98,480.99,519.93,587.13,799.81,937.34,1011.4,1106.76,1171.9,1201.54,1214.69,1232.57,1297.46,1350.09,1378.51,1409.64,1516.37,1560.6,1680.11,1776.65,1864.97,1897.42,1932.5,1955.84,1965.99,1988.05,2021.97,2113.41,2268.89,2351.67,2522.33,2680.07,2688.54,2703.06,2718.04,2724.38
Pescados y mariscos,126.55,133.73,147.51,152.15,160.58,182.34,192.58,202.38,208.51,216.23,225.73,248.04,267.37,290.17,325.23,341.23,364.46,384.95,430.75,510.53,557.41,619.49,775.95,1062.73,1168.69,1245.91,1265.24,1283.81,1301.22,1317.13,1340.96,1396.44,1399.56,1409.95,1421.83,1513.33,1501.2,1521.03,1639.76,1621.76,1625.31,1642.38,1648.91,1682.23,1706.06,1711.59,1716.17,1825.99,1899.71,1984.8,2086.71,2116.2,2120.84,2145.37
"Leche, productos lácteos y huevos",128.77,137.85,147.92,155.71,164.61,178.32,191.74,204.62,220.52,230.99,240.59,251.74,267.54,294.59,326.3,366.02,396.66,423.39,455.89,505.06,544.11,595.48,752.15,963.65,1128.18,1333.42,1459.9,1525.85,1596.61,1646.55,1707.65,1746.63,1795.23,1832.89,1872.07,1897.03,1922.99,1960,2034.31,2076.49,2099.75,2109.59,2120.28,2137.3,2161.48,2184.3,2195.35,2217.37,2258.29,2305.72,2362.43,2450.71,2491.23,2545.69
"Aceites, mantecas y otras grasas",125.83,131.73,139.92,153.21,161.83,185.64,202.02,218.86,239.03,254.88,265.81,277.5,293,304.96,324.82,349.56,369.97,386.2,423.53,481.81,547.03,623.65,889.8,1201.01,1331.38,1440.78,1500.45,1562.76,1619.81,1652.15,1702.66,1712.4,1744.26,1789.48,1848.97,1901.49,1952.89,1980.12,2031.63,2083.83,2148.51,2179.74,2207.98,2249.96,2304.59,2372.36,2399.54,2453.61,2519.05,2595.59,2640.04,2722.94,2765.8,2789.42
Frutas,129.36,131.84,135.38,135.58,136.86,151.92,168.04,184.34,200.82,229.1,246.52,280.09,311.73,345.6,367.81,365.3,371.39,384.45,426.4,548.51,584.21,704.57,882.03,1071.19,1273.74,1300.7,1285.54,1193.58,1207.79,1323.12,1344.6,1334.18,1340.05,1462.41,1480.74,1565.21,1550.29,1562.46,1513.22,1524.37,1553.42,1614.98,1703.08,1814.39,1971.26,2105.01,2182.26,2293.28,2246.15,2206.76,2111.79,2040.18,2041.29,2066.62
"Verduras, tubérculos y legumbres",158.77,158.93,155.99,150.53,164.71,183.29,204.12,233.38,256.37,245.92,262.63,299.98,304.07,338.17,405.52,422.42,424.44,439.14,509.1,562.55,601.96,704.65,816.34,943.15,1106.73,1355.15,1497.36,1859.39,1917.88,2098.95,2065.12,2039.89,1963.32,1820.99,1672.88,1666.97,1660.06,2087.7,1992.05,1893.46,1867.55,1996.54,1973.03,2070.34,2074.21,1967.44,1851.61,2181.06,2156.21,2085.09,2098.3,2402.67,2544.11,2772.17
