IPCBA (base 2021 = 100) según principales aperturas.  Índice mensual empalmado con la serie anterior (base julio 2011 - junio 2012 = 100). Ciudad de Buenos Aires. Julio de 2012 / febrero de 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apertura,Índice1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,07/01/2012,08/01/2012,09/01/2012,10/01/2012,11/01/2012,12/01/2012,01/01/2013,02/01/2013,03/01/2013,04/01/2013,05/01/2013,06/01/2013,07/01/2013,08/01/2013,09/01/2013,10/01/2013,11/01/2013,12/01/2013,01/01/2014,02/01/2014,03/01/2014,04/01/2014,05/01/2014,06/01/2014,07/01/2014,08/01/2014,09/01/2014,10/01/2014,11/01/2014,12/01/2014,01/01/2015,02/01/2015,03/01/2015,04/01/2015,05/01/2015,06/01/2015,07/01/2015,08/01/2015,09/01/2015,10/01/2015,11/01/2015,12/01/2015,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,01/01/2017,02/01/2017,03/01/2017,04/01/2017,05/01/2017,06/01/2017,07/01/2017,08/01/2017,09/01/2017,10/01/2017,11/01/2017,12/01/2017,01/01/2018,02/01/2018,03/01/2018,04/01/2018,05/01/2018,06/01/2018,07/01/2018,08/01/2018,09/01/2018,10/01/2018,11/01/2018,12/01/2018,01/01/2019,02/01/2019,03/01/2019,04/01/2019,05/01/2019,06/01/2019,07/01/2019,08/01/2019,09/01/2019,10/01/2019,11/01/2019,12/01/2019,01/01/2020,02/01/2020,03/01/2020,04/01/2020,05/01/2020,06/01/2020,07/01/2020,08/01/2020,09/01/2020,10/01/2020,11/01/2020,12/01/2020,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021,10/01/2021,11/01/2021,12/01/2021,01/01/2022,02/01/2022
Nivel General,6.43638768988037,6.58509262620965,6.68365287470697,6.78221312320429,6.92284879942268,7.05944984558563,7.22141142352567,7.30037489746796,7.41334453902044,7.56204947534973,7.67501911690221,7.81968942317605,8.01162253867083,8.17819512238851,8.35283696621709,8.53670082160098,8.73958507581768,8.93728194853452,9.36610548585618,9.77590862434503,10.1326851963909,10.4491154678823,10.7096372943196,10.9597843577573,11.2035912882506,11.4583493574659,11.7159893052922,11.9419285883972,12.1597986113913,12.3367459581087,12.5782473857132,12.7609584896527,12.9730647554247,13.2802730153608,13.5742246336861,13.7575121133478,14.0382070900624,14.2952706621665,14.5321610839933,14.77942626882,15.0681905056454,15.6583992451849,16.3062455569451,16.953515492983,17.5160581978566,18.6624695093254,19.601961936522,20.2336697280604,20.6699861497707,20.5132119533306,20.7887195485453,21.3916085539733,21.8152447097951,22.0861412992322,22.5034373221097,22.9881693044854,23.6521541364673,24.1524482633426,24.5893410607752,24.9651380316538,25.4054890834196,25.8181741005195,26.2274008632861,26.6297111173863,26.9663145391549,27.8562386542418,28.3063880932851,29.040114387654,29.6591419133038,30.5594407913904,31.2701120568711,32.4136414897289,33.2856979574274,34.5012743555609,36.5756505797822,38.5024746191187,39.5774153410339,40.5197896468416,42.0667820852439,43.4840899861498,45.2172517828248,46.889317752946,48.3613813474615,49.6979966472584,50.7954160223397,52.5193558074594,55.1597329908875,56.684823151846,58.9545907458954,61.0093701955617,62.4952668074101,63.6497473789898,65.39731856872,66.683789180685,67.3241426080564,68.2780444283083,69.3794984334449,71.0515644035661,72.6440905240227,74.444688280196,76.7156086256897,79.5986399881668,82.6517021886948,85.0073497653529,88.3128645322074,91.8673736110551,95.1786521351316,98.2334434628262,101.128002339747,104.077316910278,107.601278075849,111.573659553296,114.373116436054,118.765099439267,123.546712430693,128.59
Alimentos y bebidas no alcohólicas,6.24944902465955,6.37884504968715,6.48333640044166,6.61110820758189,6.81792528524107,6.87314869341185,6.99713065881487,7.0713032756717,7.14926573426573,7.20124070666176,7.25808833271991,7.45516010305484,7.69608575634891,7.96895436142804,8.13570739786529,8.35876665439823,8.61755870445344,8.96243430253956,9.29973021715127,9.91422598454177,10.2266172248804,10.3939116672801,10.5265561280824,10.7138825910931,10.8865910931174,11.1318479941112,11.3787291129923,11.6423938167096,11.8308030916452,11.9731928597718,12.2363161575267,12.3695020242915,12.5449175561281,12.7766393080604,13.022979020979,13.0727883695252,13.3721858667648,13.7251825542878,13.9704394552816,14.0592300331248,14.3266845785793,15.0305123297755,15.7348814869341,16.3255553919764,16.9059425837321,17.2053400809717,17.8669381670961,18.3958917924181,18.9492086860508,19.1251656238498,19.5052326094958,19.8658089804932,20.0672119985278,20.1321807140228,20.4662281928598,20.9112638940007,21.4142300331248,21.7412392344498,22.0817835848362,22.3313717335296,22.608030180346,23.1207416267943,23.5235476628634,23.8862896577107,24.2344136915716,24.347026131763,24.7877305852043,25.2782443871917,25.8775807876334,26.2717243283033,27.1141520058888,28.3371880750828,29.4292039013618,30.5753603238866,32.5016827383143,34.6905870445344,35.9856301067354,36.6786297386824,38.0121126242179,39.6655664335664,41.5577802723592,42.849033492823,44.1635671696724,45.4748524107472,46.6572830327567,48.3015329407435,51.0421299227089,52.5889267574531,55.1735988222304,57.2087438351123,59.9455509753404,61.1875362532205,63.4056764814133,64.5096032388664,64.9476006624954,65.7288494663231,66.7098770702981,68.8646728008833,70.5181266102319,73.3226094957674,75.5017684946632,77.9137320574163,81.1811170408539,84.7127081339713,87.5946120721384,91.5522896577107,94.6778262789842,98.2191626794258,101.894226352595,103.922874493927,107.14748840633,111.086216783217,113.308688259109,117.491049319102,123.272723592197,132.39
Alimentos,6.21386098525798,6.33373044890093,6.42726088241606,6.55841850182808,6.76375543057968,6.80783299120175,6.93899061061377,7.01532004486175,7.1007875099704,7.15937841372413,7.20184338066491,7.39642968487454,7.65121948651921,7.93342338074589,8.10382077973609,8.32904636389034,8.57469813467433,8.90312971443147,9.22134820087375,9.86369801725639,10.1803039100174,10.3238247476527,10.4469193986582,10.6382805155052,10.8011524773161,11.046266716873,11.2946061437924,11.5343450710783,11.7036674076144,11.8278371210741,12.0740264230852,12.193358355501,12.362680692037,12.5739304642867,12.8066814856204,12.8405459529276,13.154464189553,13.514610111709,13.7667122572182,13.836591316741,14.0967564306566,14.8406996489609,15.5738922427231,16.1796899356631,16.768824160563,17.0429650863832,17.7417556816111,18.2932627206141,18.8646584150198,18.9909782533879,19.340911082229,19.7048197229746,19.854253404108,19.8553284665622,20.1531207663747,20.6105598406355,21.148091067734,21.4840480846705,21.8280680700135,22.0667319348452,22.3199091428086,22.8208882464643,23.2030729489313,23.5449428093659,23.8529482024933,23.9228272620161,24.364677930691,24.8382429417647,25.4230769168478,25.8036490256335,26.6712244261704,27.9005583425446,29.011635388957,30.1452887469077,31.9476309513687,34.0391649560088,35.252910466797,35.8554829723744,37.1853352282159,38.8780210623489,40.8830125394261,42.1902884837295,43.4771382414032,44.6941089395541,45.8922660447565,47.5172229442751,50.1812277057749,51.6115983010839,54.2347506893243,56.2633935403938,59.0795196391625,60.272301432094,62.5648721156688,63.8114070313101,64.2924974795632,65.1428718808329,66.1340794636025,68.2352890303303,70.0231178916597,72.9273991116726,75.0721487077953,77.549630133492,80.9419897077103,84.604189957932,87.6380162036756,91.7227159983966,94.951666079577,98.5020598345622,102.137921054656,103.922524728623,106.985915191857,110.985147521469,113.161611459991,117.268350035023,123.206457500779,132.76
Pan y cereales,6.78951317158023,6.98771743418693,7.12837852377878,7.27775827594864,7.3864509360878,7.48119373610215,7.63406095330321,7.8218028208163,7.90550198156517,8.10254375582814,8.28621691413816,8.7012252528513,9.10925866150205,9.42778046768525,9.61959104440141,9.87882594505416,10.374045979485,10.8849596065562,11.1796504016928,11.6708017269206,12.0178044975253,12.1793903773044,12.4153755110824,12.6740291675633,12.9024581271071,13.1221684240729,13.366872220429,13.5889074940822,13.7551433272362,13.974853624202,14.1620142475432,14.2585007800732,14.3910244512589,14.6037598181623,14.8310262893623,14.9867997274227,15.226272326232,15.5349129814934,15.7267235582096,15.8755220662076,16.1498693153289,16.727044777993,17.4222128075461,18.0145006186787,18.3713845402052,18.8729982605265,19.5158543146116,19.9273751882935,20.3109963417258,20.6539304031275,21.1479879492145,21.4856908130694,21.688545029051,22.0088105677498,22.2604892941683,22.7295533408651,23.2166359568898,23.5717761459006,23.8310110465533,24.1768513288143,24.6203406319489,24.9748995767879,25.1742663277383,25.3509645559859,25.6886674198408,25.9926581217273,26.3623294150348,26.8755680187935,27.6974472778136,28.5222327576931,29.7562141345671,31.7934749569615,33.025131357148,33.9812780198694,36.9589919123449,39.5815656158095,40.8696027006671,42.0007038591206,43.3195468850871,44.3454428484327,45.9403768560362,47.4475429936877,48.9041408883868,50.4514128738971,51.3093292715731,53.4494703123879,57.5042296553332,58.9218841905172,61.1957113908615,63.3166713740047,66.3001977081989,67.4708234703393,69.1058633258016,69.2197871834876,69.8678744351194,70.5816422781723,71.7098372157665,73.2908213632451,73.6477052847715,75.6994972114626,77.5548286080626,79.3514543433039,80.98765668711,84.0147763341941,86.9233221702174,90.3846312136863,94.5411082867083,98.1785343142529,101.757835924611,105.499885903092,108.213133697368,112.503296929919,115.578078599096,119.460208422997,123.537636288645,129.65
Carnes y derivados,6.37979394247812,6.39688878155229,6.4880612566145,6.60145702247312,6.5820828715224,6.63564670062145,6.71941141208486,6.8875106629808,6.99634780508632,7.01458230009876,7.00033660087029,7.02939782729637,7.0709952690435,7.08638062421025,7.18268155099471,7.36787564096482,7.79866558563376,8.28700815518572,8.47733069687809,9.40045200688296,9.66314270065595,9.79021433777391,9.9281127063055,9.95717393273158,10.1543344100536,10.5218734501481,10.8569322960018,11.0022384281322,11.06321002083,11.1481143882317,11.2102256368678,11.3743360919798,11.5458543106906,11.6848923351605,11.7851820577289,11.7840424017906,12.0706658702674,12.3823617693864,12.6575886784804,12.8564586397098,13.3755719195953,15.2765180246424,15.8685692845776,16.1363884300728,16.4879722870315,16.6885517321683,17.0435545569418,17.3427142407397,17.503975556006,17.7062644850503,18.0310664274594,18.353589057992,18.3980356395848,18.5461909115609,18.5404926318695,18.5872185253389,19.1627447741691,19.6111993858813,19.934291844383,19.9268840807842,20.0824471163591,20.3582438534223,20.7041294306895,20.9787865118145,21.1161150523769,21.2540134209085,21.4511738982305,22.1195821060304,22.7919791096141,23.2267578500671,23.5612468679515,24.7259752368713,25.5026507588075,26.5026988446461,28.6577882239291,29.9062813043122,30.4202661324754,30.857894012774,32.3548320877017,35.1133692863027,38.1630885771336,39.3380738494978,39.2696944932011,39.5774015965361,39.7557577508765,40.8304533006723,43.2835627078149,44.1941478024987,46.4637726035786,48.9977975823389,52.0304220340957,52.7979803085256,55.2106319298594,56.5537164531195,55.9024030843939,56.6711010147621,58.2922615869621,60.1573085299534,61.2941153283853,63.8304196190222,66.9525070619337,75.2452134968108,81.3537693259789,84.1054685889502,87.6771502995122,91.9172402178741,95.9556110351609,100.886332452119,102.01744097086,102.277282524787,104.06825183179,106.370356827111,111.456071451675,122.318702027368,126.012896751295,132.13
Pescados y mariscos,6.21680232438336,6.16986338065899,6.03217581240083,6.10623503472151,6.03426198767747,6.05147293370974,6.34197284098168,6.42750602732387,6.60743864493396,6.5448533866348,6.62986502915782,6.6961010941911,6.78580663108657,6.94539903974943,6.96052381050506,6.91619258587649,7.07526345072019,7.23746357847885,7.62288446083785,8.40520018957737,8.991936986132,9.63447897133673,9.50200684127017,9.64699602299656,9.78937748562715,9.92393579097035,9.96774547177976,10.2671116239774,10.3317830575532,10.4293117517361,10.9414677821509,11.2100628490181,11.3931247295432,11.7279558614437,11.7013571266665,11.5907898370047,11.6565043582188,11.8286138185415,11.8593849038719,12.000201735045,12.2458488738692,12.6265758618558,13.3744696985308,14.6637260194935,15.2687168497187,16.6440279008428,17.000763873148,16.9480879474129,17.1864334727689,17.3126470770055,17.5165707102969,18.0480238620207,18.157026520225,18.0568901069464,18.6775272517464,19.2178466483958,19.440545859177,19.7357396608214,19.7122701889592,19.8327468111851,20.1341991386594,20.1555824352449,20.8638389416637,20.8925238517175,21.1006198355622,20.8565373281955,21.6273790929135,22.9786991283562,23.7557994189042,24.3435793030971,25.7950357518185,26.2367833666468,28.2165637041769,29.3691755445198,31.3724253539121,33.8127288837602,34.6174709967236,35.1906476539801,37.3331496630881,38.2943549217993,40.1635679696676,41.8392882606277,42.4891318593006,42.7561622947104,43.7799528117208,45.0686875888644,48.5395617053721,50.3519264769519,51.0132440396464,52.4532265243463,58.3831797481918,60.5898316470564,61.6782935976426,62.234780852686,62.4105411197428,62.9153955366894,64.9734074470935,67.4882917430815,68.1136227822539,70.7307296667972,71.576152197655,72.9154767252571,77.3126126645923,81.2826042160358,86.3139374394692,91.728605369985,93.6963901996744,100.412831502813,103.417445444992,105.950062230831,109.040209359352,109.645200189577,109.54402068866,112.916323023347,119.751676317254,126.55
"Leche, productos lácteos y huevos",5.71148709957771,5.78543816258476,5.81551159487429,5.9639067279751,6.1118088539892,6.29126343355297,6.43374248161321,6.52839984226224,6.60037887692243,6.76109918719108,6.90505725651147,7.32164824478451,7.55582661097349,7.67168327635121,7.79247001259605,7.89057842285207,8.04784768351373,8.50979532376442,8.82088279548074,9.06294927505714,9.36614863338604,9.53820810664911,9.6535717649401,9.89662425868994,10.1534809508678,10.5281663367701,10.7919251281619,10.9906069841075,11.1799217054056,11.3746595046575,11.5940476582451,11.7172994299235,11.9559148598929,12.2763694662568,12.3853240324205,12.558369519857,12.7836737584851,12.8600898569257,12.9172786789845,13.0646877979119,13.2658346892911,13.6212927988116,14.3046006209967,14.800072743144,15.1525728101442,15.4902826645431,16.5591220285383,17.1748878798436,17.6333844704873,18.1273775713744,18.4207167879691,18.8417448400225,19.2085421125375,19.5033603503922,20.1570877473746,20.6836193159847,21.0617557514941,21.7292873469044,22.361815439158,22.8942630928088,23.3749450023546,23.630815680359,23.9640884709774,24.0986794056502,24.4965361246282,24.6326060805611,24.8110746459515,25.0526481184412,25.5515712901954,26.2565714241959,26.8955086085768,28.0210437875441,28.7294949711516,29.51732029572,31.654013009537,33.8602197225806,35.6153249512812,37.0810350200809,38.5137136140708,39.6703082395011,42.1994345943421,45.0761309453163,48.9270092996367,51.126806920553,52.4036952751414,53.6436080982262,55.2424300804386,57.2331926965884,58.6949587086943,60.6349415949126,64.2028338814593,65.1543375588167,66.4913727779841,66.8665511709732,67.5281666813429,67.9112331877194,68.9440830343846,70.7371498087621,71.3455205537668,72.7767201264965,73.8894371212092,74.3849092433564,75.8274479790806,78.8495814206353,82.8177954615935,89.0592651793884,93.5155562361932,98.6911446325131,103.628117598864,107.163964424774,110.353227268725,114.057682518291,114.761203631031,117.817354561569,121.773736432447,128.77
"Aceites, mantecas y otras grasas",4.75421730913595,5.14565460594536,5.20593227418643,5.25114052536724,5.37316604887966,5.35809663181939,5.58781335529909,5.58671071502639,5.77085164056772,5.94212842959419,6.01821060841067,6.14317650598362,6.26483448273848,6.4728659475217,6.80145274878706,7.06682150775082,7.19840324695999,7.01168949411569,7.04587134256947,7.68687288776723,7.58065187483022,7.82065990752181,7.92688092045883,8.05037663100152,8.15953801799907,8.29736805208689,8.4002811442058,8.66748763695739,8.84868818843818,8.89904209422493,9.07656717813005,9.31179710297326,9.42279622375866,9.62678467420863,9.81937917517402,9.90501756968725,10.0693109703199,10.3060110821934,10.4306094330088,10.6268794015499,10.8334406793028,11.0256676335106,11.735032875616,12.1555063662732,12.2793696235735,12.4785799661751,12.8803085721964,14.0388159520492,16.062528399216,17.3272567920059,18.106455918049,18.7092326004598,19.1411000406016,19.7012412991345,19.9000840949785,20.0842250205199,20.2084558245777,20.406195980149,20.6300319555076,20.7935902626252,21.029187734226,21.41841975049,21.777880479391,21.9899549585075,22.1715230567459,22.3100881843488,22.7026281214309,23.0819363752406,23.5476181170787,23.9750749961297,24.8913690627455,26.9974119836075,28.6366705223586,30.1947012276874,34.081508188964,36.9752038112931,38.0576290123294,38.5056685098043,38.9290823745221,39.1716632345166,39.4491610364801,40.6117114306662,42.3009563284465,44.2232258705247,45.297197496137,45.9352586672742,49.0432340492652,50.6280956678964,51.2532927025188,52.8028698324235,56.1111581972888,58.7519816504114,60.3353730820123,60.113007293684,60.3515451393453,60.8528789166674,62.6281297557186,64.7815862083067,65.7225059076796,69.2204483994497,72.1380345610207,74.7432059786593,78.3260517714276,83.2827873439832,87.298603217166,91.9182984130322,94.5664728013063,99.6173003437992,103.387962529684,106.283128339044,109.388898440489,110.948399332848,113.713821136787,116.769972425961,121.201116135195,125.83
Frutas,5.91272890110969,5.81872281253069,5.89697652950997,6.22726819208485,6.95086100363351,7.08348580968281,7.12566151428852,7.04334266915447,6.98592273396838,6.90563645291172,6.74709645487577,6.70492075027006,6.93764933713051,7.29385619169204,7.30503529411765,7.5255684965138,8.61146585485613,9.09572424629284,9.98497103014829,10.4859980752234,10.6750265344201,10.5988053815182,10.4204478837278,10.1800971815771,10.1043841696946,10.4788841009526,10.911312108416,11.2466851811843,11.473824216832,11.2619294117647,11.5485209466758,11.6069571639006,11.7695622900913,11.6440514583129,11.5754524207012,11.5536023568693,11.7934449180006,12.5983402926446,12.5912263183738,12.880866699401,13.6288502798782,14.2752056564863,16.1065458902092,18.3611675930472,19.4861918098792,18.513609898851,16.664484729451,16.4536062064225,16.8453829323382,17.0598184425022,17.5633861926741,18.5562937444761,19.1670792497299,19.3098668761662,19.7509332809585,20.3784874398507,20.1406774427968,19.6081456545222,20.1396611607581,20.3352954532063,20.4653795541589,21.1112267897476,21.9867537660807,22.7606525385446,24.116880919179,24.8435225768438,25.7998439752529,27.3522147893548,28.4462424040067,27.1459095355004,26.8359435136993,26.1692624963174,26.0462923696357,26.1677380732594,28.4548808013356,30.6637698124325,31.7806637729549,32.212583639399,33.1699213198468,34.0678065010311,33.6506227241481,33.2334389472651,33.1033548463125,32.9280461946381,32.8889193361485,35.5754609054306,38.3570248453305,40.347921359128,50.8232484729451,53.5047086320338,54.023520612786,54.2633631739173,56.4107671216734,60.3966252774232,60.4718301482864,61.5805938524993,62.1593664735343,64.3250634979868,70.955287518413,78.0214965334381,85.6248106059118,88.688900952568,96.4853086123932,104.069313326132,101.53013265246,102.344682706472,98.9121901207896,95.3887402926446,91.7839879014043,93.3688797407444,101.323319257586,106.148626377296,110.104504212904,110.075032033782,117.109228164588,129.36
"Verduras, tubérculos y legumbres",6.49715712306817,6.99918880235324,7.18203072508974,7.18725478002507,8.11818136950063,7.64801642532106,7.83242556453815,7.5247287288473,7.67831594394596,7.49390680472886,7.29382550070578,7.27867574139332,8.02414838066471,9.37038733749889,9.93249564854025,10.5980402473011,9.65091908752604,9.00209146455822,9.44404651208702,10.5954282198334,11.1695518572261,11.1627605858101,11.2385093823724,11.9688322623313,11.9291294448228,11.5446390015826,11.4291873875119,11.8194242911809,12.0874183093633,12.2211541157077,13.0178224933453,12.9755076483692,13.0575253108538,13.3720134179606,14.514514232317,14.0678575353464,14.9512452249104,15.9506069340388,16.9139226641134,16.0613568986677,15.5217120238483,14.8023596592536,15.2960328506421,15.7630633618605,17.7440249933371,17.9744058159851,20.7180794680196,22.7695658411232,24.9788186732736,23.1577131228181,23.1843558029883,22.9675575231721,22.2884303815794,20.2562730117366,20.548820088115,21.9546132712119,23.7213886503401,23.5839960055409,23.5578757308643,23.6226540120623,23.2736871423824,25.287037914458,25.8094434079909,26.8030586566904,26.637978520734,25.2812914540292,26.7079808568674,26.185052957841,25.9254174275552,25.6678715192435,28.5933422830275,30.3747450159746,33.6873182504664,36.8896639258228,33.7886649162118,36.3176299104043,38.196722470642,35.9911264769463,36.8661556786139,39.6051276812066,41.2836165319277,39.9023764070268,39.6526665811181,41.3860080086602,46.7892480282705,49.1849996216122,50.8138599504477,51.3503703923059,54.1316572398748,53.8479910568865,54.8295909792347,57.2478060087983,63.2481555075168,67.3897862602453,70.4019763359557,73.1127384418977,71.6552271149411,76.1306749780371,83.5765204773609,90.9701254273314,89.8469536162358,82.4068545773408,82.6440266714048,88.5367606384554,92.0170260363713,94.5329308932255,96.9015174009035,96.7061377463223,108.392871042146,105.006116227572,107.978603485774,116.705909660734,111.844404137917,104.867678771786,124.802672405,158.77
